task,n_requests,throughput_rps,avg_latency_ms
diasbp,86,8.6,116.40591720162436
heartrate,86,8.6,116.58265588393564
etth1fore,86,8.6,116.60553915642721
gestureclass,86,8.6,116.696112686335
exchangefore,86,8.6,116.83337151094578
ecgclass,86,8.6,116.89270460480002
sysbp,87,8.7,115.59331729130326
eclfore,87,8.7,115.58934635129468
