run_idx,device,backbone,task,batch_size,req_idx,latency_ms,backbone_ms,decoder_ms,gpu_peak_mb
0,NVIDIA A2,momentlarge,ecgclass,1,58,34.0401,33.3034,0.3965,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,59,33.34,32.6033,0.3845,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,60,33.5159,32.4817,0.6923,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,61,33.0453,32.3266,0.3833,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,62,33.118,32.3975,0.3943,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,63,33.192,32.4675,0.386,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,64,33.0182,32.3062,0.3882,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,65,33.1114,32.3874,0.3938,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,66,33.0546,32.3364,0.3827,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,67,33.0672,32.3465,0.3905,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,68,33.2054,32.4825,0.3838,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,69,33.1278,32.4167,0.3831,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,70,33.3297,32.6048,0.3865,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,71,35.3446,34.3447,0.4952,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,72,33.6841,32.9512,0.3825,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,73,34.0535,33.3335,0.3886,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,74,33.1157,32.3857,0.4025,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,75,33.0642,32.347,0.3872,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,76,33.291,32.5631,0.3932,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,77,33.2131,32.4926,0.3874,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,78,33.3194,32.5864,0.3998,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,79,33.083,32.3715,0.3819,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,80,33.2701,32.5429,0.3891,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,81,33.7871,32.4069,0.3829,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,82,33.07,32.3534,0.3824,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,83,33.0438,32.3057,0.4016,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,84,33.243,32.5353,0.378,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,85,33.3047,32.5735,0.3908,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,86,33.1508,32.4106,0.393,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,87,33.2402,32.5124,0.3936,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,88,33.9879,32.3814,0.385,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,89,33.1395,32.4306,0.3816,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,90,33.0758,32.3561,0.3887,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,91,33.0822,32.3664,0.3846,1403.108
0,NVIDIA A2,momentlarge,ecgclass,1,92,32.9317,32.2191,0.3867,1403.108
