task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,30.0,257,32.125,1175.671,1152.434,1821.854,1870.119,45.065,42.874,0.003,0.668,1130.041,0.0,1130.606
gestureclass,fifo,50.0,379,47.375,1169.483,1146.124,1795.462,1875.092,44.982,42.891,0.003,0.494,1123.91,0.0,1124.501
