task,send_time_s,latency_ms
gestureclass,4.5295,1042.009
gestureclass,4.5408,1030.737
gestureclass,4.5544,1060.556
gestureclass,4.5597,1055.298
gestureclass,4.5785,1082.007
gestureclass,4.6023,1102.669
gestureclass,4.6333,1116.493
gestureclass,4.6376,1112.202
gestureclass,4.6584,1134.938
gestureclass,4.6852,1108.162
gestureclass,4.6866,1149.857
gestureclass,4.6982,1138.323
gestureclass,4.7176,1118.972
gestureclass,4.7229,1157.378
gestureclass,4.7594,1120.908
gestureclass,4.7851,1140.415
gestureclass,4.7894,1136.146
gestureclass,4.8007,1168.262
gestureclass,4.8678,1101.172
gestureclass,4.8837,1085.292
gestureclass,4.9129,1100.305
gestureclass,4.9624,1094.594
gestureclass,4.9738,1083.237
gestureclass,4.9761,1080.899
gestureclass,4.9805,1119.466
gestureclass,4.9948,1105.133
gestureclass,5.0056,1137.935
gestureclass,5.0223,1121.279
gestureclass,5.0484,1140.657
gestureclass,5.0787,1110.308
gestureclass,5.0998,1133.616
gestureclass,5.1574,1120.311
gestureclass,5.2299,1133.930
gestureclass,5.2555,1108.301
gestureclass,5.2943,1111.682
gestureclass,5.3047,1101.296
gestureclass,5.3081,1097.923
gestureclass,5.3245,1125.916
gestureclass,5.3762,1161.480
gestureclass,5.3796,1158.172
gestureclass,5.3899,1147.889
gestureclass,5.4086,1172.808
gestureclass,5.4200,1161.492
gestureclass,5.4213,1160.205
gestureclass,5.5037,1121.201
gestureclass,5.5196,1148.397
gestureclass,5.5251,1184.773
gestureclass,5.5358,1174.066
gestureclass,5.5359,1217.993
gestureclass,5.5522,1201.678
gestureclass,5.5857,1213.279
gestureclass,5.6010,1197.914
gestureclass,5.6304,1212.348
gestureclass,5.6441,1199.638
gestureclass,5.6747,1213.117
gestureclass,5.6873,1200.477
gestureclass,5.7085,1223.209
gestureclass,5.7462,1185.539
gestureclass,5.8345,1141.410
gestureclass,5.8467,1174.181
gestureclass,5.9138,1107.102
gestureclass,5.9161,1104.736
gestureclass,5.9357,1129.438
gestureclass,5.9485,1161.203
gestureclass,5.9658,1143.937
gestureclass,6.0026,1151.092
gestureclass,6.0129,1140.738
gestureclass,6.0972,1100.154
gestureclass,6.1122,1129.425
gestureclass,6.1413,1144.577
gestureclass,6.1599,1126.076
gestureclass,6.1746,1111.337
gestureclass,6.1862,1144.634
gestureclass,6.1863,1144.504
gestureclass,6.2649,1152.450
gestureclass,6.2859,1131.540
gestureclass,6.3408,1118.890
gestureclass,6.4222,1081.507
gestureclass,6.4526,1096.120
gestureclass,6.4629,1085.794
gestureclass,6.4749,1118.893
gestureclass,6.4771,1160.720
gestureclass,6.5241,1157.371
gestureclass,6.5479,1133.606
gestureclass,6.6029,1122.853
gestureclass,6.6525,1119.437
gestureclass,6.6526,1119.341
gestureclass,6.6872,1129.090
gestureclass,6.6905,1125.741
gestureclass,6.6918,1124.509
gestureclass,6.7150,1146.317
gestureclass,6.7269,1177.289
gestureclass,6.7581,1146.124
gestureclass,6.8235,1124.208
gestureclass,6.8349,1112.870
gestureclass,6.8543,1137.321
gestureclass,6.8544,1137.249
gestureclass,6.8578,1133.940
gestureclass,6.8809,1156.128
gestureclass,6.8810,1200.564
gestureclass,6.9018,1222.943
gestureclass,6.9213,1203.459
gestureclass,6.9239,1200.966
gestureclass,6.9756,1192.896
gestureclass,7.0045,1206.096
gestureclass,7.0534,1200.524
gestureclass,7.0558,1198.146
gestureclass,7.0844,1214.426
gestureclass,7.0918,1207.043
gestureclass,7.1533,1190.322
gestureclass,7.1678,1219.378
gestureclass,7.1853,1201.960
gestureclass,7.1918,1195.487
gestureclass,7.2055,1225.359
gestureclass,7.2329,1198.063
gestureclass,7.2538,1220.528
gestureclass,7.2539,1220.582
gestureclass,7.2554,1263.515
gestureclass,7.2671,1297.121
gestureclass,7.2975,1266.781
gestureclass,7.3168,1290.912
gestureclass,7.3202,1287.547
gestureclass,7.3530,1254.776
gestureclass,7.4198,1274.312
gestureclass,7.4281,1266.010
gestureclass,7.4425,1251.691
gestureclass,7.4528,1284.312
gestureclass,7.4597,1277.478
gestureclass,7.4700,1267.153
gestureclass,7.4753,1306.304
gestureclass,7.4796,1302.036
gestureclass,7.4809,1300.777
gestureclass,7.4882,1338.430
gestureclass,7.5315,1339.493
gestureclass,7.5388,1332.223
