task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,20,1,0.0001,0.3631,363.0595,363.0595,361.2282,346.1951,0.0035,1.0364,1.8314,1775518260018427565,0
ecgclass,20,1,0.3631,0.3904,27.2744,27.2744,25.5689,24.5389,0.0035,1.0397,1.7055,1775518260381502149,0
ecgclass,20,1,0.3904,0.4171,26.6721,26.6721,25.2583,24.2804,0.0034,0.7753,1.4138,1775518260408523667,0
ecgclass,20,1,0.4171,0.4439,26.7789,26.7789,25.3285,24.3519,0.0035,0.7946,1.4504,1775518260435226852,0
ecgclass,20,1,0.4439,0.4708,26.906,26.906,25.4658,24.501,0.0035,0.8132,1.4402,1775518260462036363,0
ecgclass,20,1,0.4708,0.4977,26.8893,26.8893,25.478,24.2593,0.0032,0.7904,1.4114,1775518260488930525,0
ecgclass,20,1,0.4977,0.5243,26.5505,26.5505,25.2075,24.2254,0.0039,0.7167,1.343,1775518260515756838,0
ecgclass,20,1,0.5243,0.5507,26.4654,26.4654,25.0765,24.0804,0.0035,0.7577,1.3889,1775518260542359151,0
ecgclass,20,1,0.5507,0.5775,26.7177,26.7177,25.2792,24.2638,0.0034,0.7985,1.4385,1775518260568877175,0
ecgclass,20,1,0.5775,0.6039,26.3772,26.3772,25.0252,24.0516,0.0035,0.7279,1.352,1775518260595535920,0
ecgclass,20,1,0.6039,0.6304,26.5429,26.5429,25.1629,24.1757,0.0034,0.736,1.38,1775518260621931796,0
ecgclass,20,1,0.6304,0.6569,26.4812,26.4812,25.0642,24.0632,0.0035,0.7622,1.417,1775518260648511889,0
ecgclass,20,1,0.6569,0.6837,26.8371,26.8371,25.3993,24.0857,0.0033,0.7744,1.4378,1775518260675015598,0
ecgclass,20,1,0.6838,0.7101,26.3202,26.3202,24.9324,23.9916,0.0034,0.7856,1.3878,1775518260701875189,0
ecgclass,20,1,0.7101,0.7364,26.3546,26.3546,24.9695,23.9999,0.003,0.7617,1.385,1775518260728181782,0
ecgclass,20,1,0.7365,0.7629,26.4089,26.4089,25.0156,24.0678,0.0031,0.7474,1.3933,1775518260754533152,0
ecgclass,20,1,0.7629,0.7893,26.4096,26.4096,24.9854,23.995,0.0033,0.7751,1.4242,1775518260780980318,0
ecgclass,20,1,0.7893,0.8158,26.458,26.458,25.0001,24.0051,0.0032,0.7918,1.458,1775518260807417613,0
ecgclass,20,1,0.8158,0.8421,26.3002,26.3002,24.9055,23.932,0.0034,0.7732,1.3947,1775518260833868355,0
ecgclass,20,1,0.8421,0.8684,26.3572,26.3572,24.9818,23.9736,0.0032,0.7567,1.3754,1775518260860162567,0
ecgclass,20,1,0.8684,0.895,26.5093,26.5093,25.1525,24.0463,0.0031,0.725,1.3568,1775518260886498884,0
ecgclass,20,1,0.895,0.9214,26.48,26.48,25.082,24.0743,0.0033,0.7563,1.398,1775518260913050442,0
ecgclass,20,1,0.9215,0.9482,26.7384,26.7384,25.3928,24.4003,0.0031,0.7477,1.3456,1775518260939533546,0
ecgclass,20,1,0.9482,0.9745,26.2833,26.2833,24.8859,23.9282,0.0027,0.7694,1.3973,1775518260966304514,0
ecgclass,20,1,0.9745,1.0009,26.3689,26.3689,25.0062,24.0382,0.003,0.7563,1.3627,1775518260992585062,0
ecgclass,20,1,1.0009,1.0277,26.8641,26.8641,25.4803,24.4781,0.0032,0.7787,1.3837,1775518261018987790,0
ecgclass,20,1,1.0278,1.0544,26.6457,26.6457,25.2438,24.2546,0.0034,0.778,1.4019,1775518261045861593,0
ecgclass,20,1,1.0544,1.081,26.6349,26.6349,25.204,24.2124,0.0033,0.7944,1.4309,1775518261072535312,0
ecgclass,20,1,1.0811,1.1074,26.3875,26.3875,24.9833,24.0306,0.0029,0.7737,1.4042,1775518261099160115,0
ecgclass,20,1,1.1075,1.1338,26.3429,26.3429,24.9476,23.9996,0.0031,0.7608,1.3953,1775518261125545835,0
ecgclass,20,1,1.1338,1.1603,26.5121,26.5121,25.1686,24.1321,0.0039,0.7532,1.3435,1775518261151891601,0
ecgclass,20,1,1.1603,1.1868,26.4838,26.4838,25.062,24.0695,0.0034,0.7765,1.4218,1775518261178438125,0
ecgclass,20,1,1.1868,1.2136,26.7515,26.7515,25.3571,23.9936,0.0031,0.7811,1.3945,1775518261204936726,0
ecgclass,20,1,1.2136,1.2399,26.3023,26.3023,25.0128,24.0384,0.0033,0.7222,1.2895,1775518261231641053,0
ecgclass,20,1,1.2399,1.2662,26.3286,26.3286,24.9938,24.0584,0.003,0.756,1.3348,1775518261257987668,0
ecgclass,20,1,1.2662,1.2928,26.5217,26.5217,25.1783,24.2111,0.0028,0.7477,1.3434,1775518261284318747,0
ecgclass,20,1,1.2928,1.319,26.2501,26.2501,24.9155,23.9447,0.0035,0.7398,1.3346,1775518261310842907,0
ecgclass,20,1,1.319,1.3456,26.5467,26.5467,25.1523,24.1699,0.0031,0.7646,1.3944,1775518261337131653,0
ecgclass,20,1,1.3456,1.372,26.3865,26.3865,25.0519,24.0335,0.0033,0.756,1.3346,1775518261363680120,0
ecgclass,20,1,1.372,1.3984,26.449,26.449,25.0775,24.1094,0.0037,0.7536,1.3715,1775518261390074443,0
ecgclass,20,1,1.3984,1.4248,26.3488,26.3488,24.9728,23.9878,0.0034,0.7641,1.376,1775518261416545344,0
ecgclass,20,1,1.4248,1.4511,26.288,26.288,24.9684,24.0165,0.003,0.7281,1.3196,1775518261442869668,0
ecgclass,20,1,1.4511,1.4782,27.0524,27.0524,25.7143,24.036,0.0041,0.747,1.3381,1775518261469187358,0
