run_idx,req_idx,latency_ms,output_words
0,0,1520.3031,1
1,0,1464.2234,1
2,0,1463.1335,1
3,0,1466.0747,1
4,0,1498.8316,1
0,0,513.9492,1
1,0,505.6985,1
2,0,507.6305,1
3,0,518.8097,1
4,0,558.9227,1
