task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,328,5.9636,167.669,167.61,168.684,169.279,88.751
ecgclass__app1,328,5.9636,167.669,167.573,168.907,169.514,88.562
ecgclass__app2,328,5.9636,167.668,167.585,168.835,169.443,88.596
ecgclass__app3,328,5.9636,167.657,167.567,168.801,169.447,88.81
ecgclass__app4,328,5.9636,167.656,167.615,168.752,169.375,88.837
ecgclass__app5,328,5.9636,167.658,167.621,168.7,169.246,89.004
