task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,0.0001,0.3874,387.3556,387.3556,382.4667,360.3671,0.0031,4.117,4.8889,1775532442937875880,0
ecgclass,2,1,0.3874,0.4106,23.1805,23.1805,15.0626,14.0289,0.0024,7.504,8.1179,1775532443328630841,0
ecgclass,2,1,0.4106,0.4353,24.6854,24.6854,15.3741,14.3772,0.0025,8.7521,9.3113,1775532443353070333,0
ecgclass,2,1,0.4353,0.4608,25.5058,25.5058,19.7125,18.6349,0.0024,5.1012,5.7932,1775532443374115561,0
ecgclass,2,1,0.4608,0.4856,24.8182,24.8182,15.4742,14.4492,0.0026,8.6515,9.344,1775532443403182855,0
ecgclass,2,1,0.4857,0.5109,25.2442,25.2442,17.3238,16.0937,0.0029,7.2818,7.9204,1775532443426642199,0
ecgclass,2,1,0.5109,0.5356,24.6396,24.6396,17.6589,16.7164,0.0026,6.319,6.9807,1775532443450935026,0
ecgclass,2,1,0.5356,0.5607,25.0952,25.0952,18.1978,17.2108,0.0024,6.2122,6.8974,1775532443475479480,0
ecgclass,2,1,0.5607,0.5867,26.0363,26.0363,15.964,14.9822,0.0022,9.439,10.0723,1775532443503813052,0
ecgclass,2,1,0.5867,0.6103,23.5798,23.5798,14.9875,14.0417,0.0019,7.9665,8.5923,1775532443528388692,0
ecgclass,2,1,0.6103,0.6353,24.9796,24.9796,19.7047,18.7026,0.0025,4.6744,5.2749,1775532443548688895,0
ecgclass,2,1,0.6353,0.6609,25.6023,25.6023,18.2508,17.2108,0.0029,6.6819,7.3516,1775532443575687159,0
ecgclass,2,1,0.6609,0.6862,25.3222,25.3222,20.2136,18.8588,0.0022,4.4959,5.1086,1775532443599115011,0
ecgclass,2,1,0.6863,0.7107,24.4024,24.4024,18.987,18.0412,0.0022,4.7793,5.4154,1775532443624731734,0
ecgclass,2,1,0.7107,0.736,25.3077,25.3077,15.6123,14.6225,0.0025,9.0802,9.6953,1775532443653446129,0
ecgclass,2,1,0.736,0.7608,24.8184,24.8184,15.5756,14.6127,0.002,8.625,9.2428,1775532443678310363,0
ecgclass,2,1,0.7608,0.7854,24.6105,24.6105,17.5777,16.6417,0.0021,6.4878,7.0328,1775532443701002836,0
ecgclass,2,1,0.7854,0.8103,24.8711,24.8711,14.8032,13.8645,0.0022,9.4707,10.0679,1775532443728607445,0
ecgclass,2,1,0.8103,0.8349,24.5674,24.5674,14.5957,13.6772,0.0021,9.4249,9.9716,1775532443753444793,0
ecgclass,2,1,0.8349,0.8601,25.2075,25.2075,14.6127,13.6311,0.0021,10.0131,10.5949,1775532443778611331,0
ecgclass,2,1,0.8601,0.8851,25.0213,25.0213,17.7378,16.7364,0.0022,6.6724,7.2835,1775532443800490089,0
ecgclass,2,1,0.8851,0.9101,24.9064,24.9064,16.4981,15.4736,0.0027,7.787,8.4083,1775532443826636487,0
ecgclass,2,1,0.9101,0.9353,25.1966,25.1966,18.9768,17.9692,0.0024,5.6632,6.2197,1775532443849438197,0
ecgclass,2,1,0.9353,0.9607,25.4459,25.4459,20.1424,19.1782,0.0023,4.6608,5.3036,1775532443873643865,0
ecgclass,2,1,0.9607,0.9877,26.9136,26.9136,14.4684,13.5251,0.002,11.8396,12.4452,1775532443906279763,0
ecgclass,2,1,0.9877,1.0129,25.2132,25.2132,18.7721,17.7435,0.0021,5.8129,6.4412,1775532443927178463,0
ecgclass,2,1,1.0129,1.0386,25.7301,25.7301,19.2739,18.2702,0.0021,5.8472,6.4562,1775532443952436756,0
ecgclass,2,1,1.0386,1.0628,24.1249,24.1249,15.1284,14.1317,0.0021,8.3613,8.9965,1775532443980692166,0
