task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing_tpc,23258,80.2,45.297,24.85,43.648,715.256
gestureclass,no_sharing_tpc,23022,79.3862,25.543,24.473,40.751,48.871
