n_tasks,strategy,gpu_mem_mb,throughput_rps,avg_latency_ms,avg_batch_size,mixed_batch_fraction,batch_count
2,deploy_sharing,456.27,75.9667,26.326,1.0,0.0,3337
2,task_sharing,911.745,61.8833,32.324,1.0,0.0,2778
4,deploy_sharing,531.769,107.1167,37.347,2.0,0.5,1950
