task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing_mps,315,1.0862,57.875,54.773,82.021,98.72,54.408,52.594,0.002,1.396,2.527,3.466
gestureclass,no_sharing_mps,315,1.0862,61.087,53.856,88.119,118.069,55.523,53.499,0.002,1.59,3.884,5.564
heartrate,no_sharing_mps,283,0.9759,59.327,55.255,91.42,98.999,55.381,53.143,0.003,1.903,3.028,3.946
diasbp,no_sharing_mps,320,1.1034,58.021,53.533,90.469,96.241,53.823,51.926,0.002,1.56,3.283,4.197
