model_name,dataset_name,device,num_samples,accuracy,total_inference_time_sec,average_latency_ms,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_usage_percent,avg_cpu_memory_usage_mb,avg_gpu_usage_percent,avg_gpu_memory_usage_mb
chronos_tiny,Hourly,NVIDIA A16,100,0.7107908,117.06376912503038,0.1031935066398,5.615498516999651,105.125,25.077999999999992,639.32,7.3,80.0
chronos_mini,Hourly,NVIDIA A16,100,0.6813434362411499,120.10578881198307,0.1339141476911027,0.8376123220077716,135.125,25.09,639.3,14.87,140.0
chronos_small,Hourly,NVIDIA A16,100,0.6970566511154175,125.39776448003248,0.1861857597203925,1.7837200629874133,205.125,25.086,646.885,33.4,146.0
chronos_base,Hourly,NVIDIA A16,100,0.6991917490959167,158.0476582729607,0.5131221831671428,4.753859584976453,471.125,25.059,616.2,94.82,491.98
chronos_large,Hourly,NVIDIA A16,100,0.6782132983207703,235.18243399902715,1.2841710227087606,14.324389937042724,1445.125,25.127,614.535,97.7,1250.0
Moirai_Small,Hourly,NVIDIA A16,100,0.8525499105453491,120.19234072801191,0.1273873279499821,0.7639361639739946,123.125,25.114,494.03,4.72,44.0
Moirai_Base,Hourly,NVIDIA A16,100,0.8762108683586121,127.01321457803716,0.1782466212008148,2.5534272749791853,439.125,25.098,306.53,22.11,44.0
Moirai_Large,Hourly,NVIDIA A16,100,0.7882336974143982,148.37808079301612,0.3303012277011294,8.72216494200984,1349.125,25.39999999999999,155.5,63.08,44.0
chronos_tiny,Hourly,NVIDIA A16,100,0.8039069,116.85914484999375,0.1012951770215295,0.3626993140205741,105.125,0.4699999999999994,647.78,5.71,80.0
chronos_mini,Hourly,NVIDIA A16,100,0.6752393841743469,120.13553447800224,0.133392684662831,0.5396388500230387,135.125,0.5099999999999999,642.675,14.9,140.0
chronos_small,Hourly,NVIDIA A16,100,0.6879215240478516,125.36844442901202,0.1862716495111817,0.4099399159895256,205.125,0.5569999999999996,658.755,31.01,146.0
chronos_base,Hourly,NVIDIA A16,100,0.7042385935783386,158.01006832002895,0.5128227598650846,0.5613797699916176,471.125,0.5339999999999994,612.155,94.73,491.98
chronos_large,Hourly,NVIDIA A16,100,0.6800494194030762,234.3907068450353,1.276486225433182,1.1222331579774618,1445.125,0.4549999999999997,614.445,97.8,1250.0
Moirai_Small,Hourly,NVIDIA A16,100,0.8483667969703674,119.50155949400504,0.1242329678829992,0.3529273250023834,123.125,0.4409999999999995,504.755,4.22,44.0
Moirai_Base,Hourly,NVIDIA A16,100,0.92145973443985,125.30398727295687,0.1781631229427876,0.7793982559815049,439.125,0.4599999999999994,302.03,21.52,44.0
Moirai_Large,Hourly,NVIDIA A16,100,0.7846616506576538,141.689751479018,0.3290651523589622,2.1174545870162547,1349.125,0.4349999999999997,156.0,62.72,44.0
chronos_tiny,Hourly,NVIDIA A16,100,0.71487457,117.03212603495922,0.1025385328318225,0.6108210770180449,105.125,12.672,653.26,6.78,80.0
chronos_mini,Hourly,NVIDIA A16,100,0.6915737390518188,120.20410848699976,0.1344602198188658,0.4167475120048038,135.125,11.775,639.28,12.41,140.0
chronos_small,Hourly,NVIDIA A16,100,0.7034669518470764,125.47022378101246,0.187065398877603,0.4630605140118859,205.125,12.153000000000002,659.42,34.18,146.0
chronos_base,Hourly,NVIDIA A16,100,0.7004329562187195,158.30504495603964,0.5149858234904241,0.6454866629792377,471.125,11.972000000000005,614.845,94.67,491.98
chronos_large,Hourly,NVIDIA A16,100,0.6792934536933899,234.91800861398224,1.28013966666942,1.1495659839711152,1445.125,11.659,612.245,96.91,1250.0
Moirai_Small,Hourly,NVIDIA A16,100,0.8623567223548889,119.56686944299145,0.1246247009775834,0.3534014549804851,123.125,11.592,505.145,4.97,44.0
Moirai_Base,Hourly,NVIDIA A16,100,1.034514307975769,125.70418160804547,0.181676569970441,0.8345313579775393,439.125,11.329,303.645,23.05,44.0
Moirai_Large,Hourly,NVIDIA A16,100,0.7823292016983032,142.28921595902648,0.3321789598918985,2.400476858019829,1349.125,11.236999999999998,155.5,62.87,44.0
