task,send_time_s,latency_ms
ecgclass,0.0001,371.813
ecgclass,0.2410,384.703
ecgclass,0.4752,366.745
ecgclass,0.7132,260.790
ecgclass,0.7415,276.540
ecgclass,0.7501,310.134
ecgclass,0.8953,252.231
ecgclass,1.0372,198.937
ecgclass,1.3490,192.971
ecgclass,1.3566,185.406
ecgclass,1.4609,168.191
ecgclass,1.4684,160.760
ecgclass,1.5784,135.452
ecgclass,1.7510,95.197
ecgclass,1.7888,101.842
ecgclass,1.9118,109.715
ecgclass,1.9269,137.966
ecgclass,1.9361,173.307
ecgclass,1.9679,185.370
ecgclass,2.0582,138.822
ecgclass,2.0995,139.792
ecgclass,2.2243,142.818
ecgclass,2.2464,165.051
ecgclass,2.4310,112.288
ecgclass,2.5534,46.005
ecgclass,2.6186,53.761
ecgclass,2.6614,55.494
ecgclass,2.7053,55.585
ecgclass,2.7139,47.057
ecgclass,2.7312,73.721
ecgclass,2.7997,37.671
ecgclass,2.8385,74.167
ecgclass,2.9656,44.856
ecgclass,3.0356,91.579
ecgclass,3.0596,111.544
ecgclass,3.1064,108.691
ecgclass,3.1699,132.851
ecgclass,3.2050,141.807
ecgclass,3.2367,197.603
ecgclass,3.3245,195.485
ecgclass,3.3545,254.535
ecgclass,3.4890,250.383
ecgclass,3.6264,155.047
ecgclass,3.7355,179.462
ecgclass,3.7427,172.306
ecgclass,3.8560,230.003
ecgclass,3.9910,227.427
ecgclass,4.1033,202.043
ecgclass,4.1314,217.672
ecgclass,4.1640,228.811
ecgclass,4.1798,213.079
ecgclass,4.2154,223.053
ecgclass,4.2180,220.518
ecgclass,4.2346,248.696
ecgclass,4.3665,245.937
ecgclass,4.7659,45.135
ecgclass,4.8222,45.412
ecgclass,4.8507,47.492
ecgclass,4.8898,38.950
ecgclass,4.9258,68.289
ecgclass,4.9389,55.170
ecgclass,5.0472,66.149
ecgclass,5.1848,49.793
ecgclass,5.3354,41.944
ecgclass,5.8670,26.927
ecgclass,6.0778,72.598
ecgclass,6.2424,43.248
ecgclass,6.3465,45.639
ecgclass,6.4064,59.762
ecgclass,6.4099,56.229
ecgclass,6.5056,35.043
ecgclass,6.5675,25.942
ecgclass,6.7183,52.573
ecgclass,6.9220,26.449
ecgclass,6.9549,57.349
ecgclass,6.9594,97.383
ecgclass,7.0518,49.397
ecgclass,7.3077,50.663
ecgclass,7.3899,27.971
ecgclass,7.6032,161.302
ecgclass,7.6783,131.207
ecgclass,7.8091,129.236
ecgclass,7.8387,99.717
ecgclass,7.8531,85.331
ecgclass,7.8661,114.709
ecgclass,7.8775,147.579
ecgclass,7.8833,141.748
ecgclass,8.0561,103.122
ecgclass,8.0993,144.557
ecgclass,8.1397,192.247
ecgclass,8.2313,100.642
ecgclass,8.2501,126.548
ecgclass,8.4419,65.503
ecgclass,8.5719,133.422
ecgclass,8.6059,143.834
ecgclass,8.6247,167.902
ecgclass,8.6774,157.759
ecgclass,8.7084,171.215
ecgclass,8.7158,163.854
ecgclass,8.7656,202.436
ecgclass,8.9912,108.773
ecgclass,9.0925,140.006
ecgclass,9.4006,31.543
ecgclass,9.6058,63.480
ecgclass,9.7166,39.351
ecgclass,9.9022,43.794
ecgclass,9.9746,59.034
