task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,10.0,88,11.0,113.534,105.906,229.586,250.923,40.578,38.333,0.002,0.868,72.413,0.0,72.956
gestureclass,fifo,50.0,387,48.375,106.723,90.122,234.474,255.191,39.914,38.044,0.003,0.373,66.197,0.0,66.809
