task,send_time_s,latency_ms
gestureclass,0.0002,396.408
gestureclass,0.0116,425.806
gestureclass,0.0349,445.991
gestureclass,0.0493,476.285
gestureclass,0.0517,518.709
gestureclass,0.0517,563.435
gestureclass,0.0831,575.253
gestureclass,0.0855,616.316
gestureclass,0.0888,656.427
gestureclass,0.1073,682.630
gestureclass,0.1147,719.778
gestureclass,0.1270,750.573
gestureclass,0.1392,782.267
gestureclass,0.1405,823.712
gestureclass,0.1839,823.514
gestureclass,0.2656,784.887
gestureclass,0.2795,815.462
gestureclass,0.2879,851.741
gestureclass,0.3330,850.556
gestureclass,0.3433,884.035
gestureclass,0.3634,907.192
gestureclass,0.4040,910.019
gestureclass,0.4125,947.088
gestureclass,0.4514,952.203
gestureclass,0.4748,972.344
gestureclass,0.4944,995.803
gestureclass,0.5301,1003.529
gestureclass,0.5302,1047.434
gestureclass,0.5378,1084.094
gestureclass,0.5421,1123.437
gestureclass,0.5490,1160.749
gestureclass,0.5573,1195.902
gestureclass,0.5631,1233.400
gestureclass,0.5746,1265.670
gestureclass,0.5818,1302.382
gestureclass,0.5931,1335.383
gestureclass,0.6055,1367.014
gestureclass,0.6111,1404.715
gestureclass,0.6316,1427.830
gestureclass,0.6546,1447.515
gestureclass,0.6852,1461.352
gestureclass,0.6895,1502.033
gestureclass,0.7093,1526.049
gestureclass,0.7369,1541.868
gestureclass,0.7382,1584.358
gestureclass,0.7498,1615.248
gestureclass,0.7691,1637.855
gestureclass,0.7746,1674.939
gestureclass,0.8108,1682.401
gestureclass,0.8368,1701.759
gestureclass,0.8410,1741.210
gestureclass,0.8530,1773.104
gestureclass,0.9200,1749.801
gestureclass,0.9359,1777.110
gestureclass,0.9640,1792.794
gestureclass,1.0139,1787.710
gestureclass,1.0253,1820.490
gestureclass,1.0277,1862.629
gestureclass,1.0331,1901.703
gestureclass,1.0457,1932.274
gestureclass,1.0576,1965.082
gestureclass,1.0741,1993.150
gestureclass,1.1003,2011.601
gestureclass,1.1306,2024.986
gestureclass,1.1518,2045.603
gestureclass,1.2090,2031.804
