task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,no_sharing,380,38.0,16443.181,16507.928,20836.32,21235.325,250.656,4.742,0.001,49.266,16179.812,16192.525
vocseg,no_sharing,425,42.5,16862.673,16789.692,21965.189,22070.844,244.611,4.717,0.001,48.011,16606.179,16618.062
