model_name,dataset_name,device,num_samples,mae,rmse,mase,scaled_crps,smape,total_inference_time_sec,average_latency_ms,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_usage_percent,avg_cpu_memory_usage_mb,avg_gpu_usage_percent,avg_gpu_memory_usage_mb
amazon/chronos-t5-large,m1_yearly,NVIDIA A100-SXM4-80GB,181,160313.67463573746,179421.8458332105,4.3732699315250105,0.1147174351652815,0.1111725223982728,221.10043263435364,0.2136733989142529,2.856635253992863,1878.0625,0.27182320441989,763.3397790055249,3.80110497237569,132.0
amazon/chronos-t5-tiny,m1_yearly,NVIDIA A100-SXM4-80GB,181,149773.7904026055,171428.54300024398,4.857925613866251,0.1123385966231135,0.1183266055971011,194.60199689865112,0.0672773645813859,1.2008657830301672,538.0625,0.2270718232044205,748.4806629834254,0.0939226519337016,24.0
amazon/chronos-t5-mini,m1_yearly,NVIDIA A100-SXM4-80GB,181,175543.22293707813,199711.54827477745,5.280635191686502,0.1246843799289921,0.1305402455287734,194.7722764015197,0.0680678508151837,1.3959526440594343,568.0625,6.154143646408839,743.3646408839779,0.0773480662983425,22.0
amazon/chronos-t5-small,m1_yearly,NVIDIA A100-SXM4-80GB,181,169690.01330787508,193999.99161874256,4.973640629163552,0.1238782219784678,0.1233067059142244,197.13062167167664,0.0812379788666531,1.4818603809690103,638.0625,0.3220994475138126,745.7237569060774,0.0994475138121546,20.0
amazon/chronos-t5-base,m1_yearly,NVIDIA A100-SXM4-80GB,181,172687.48693550503,193344.2198842767,4.537077528200432,0.1218979612953548,0.1124476178777362,204.5997657775879,0.1225486420833335,1.507885609054938,904.0625,0.2038674033149175,742.1906077348066,0.5248618784530387,64.0
amazon/chronos-t5-large,m1_quarterly,NVIDIA A100-SXM4-80GB,203,2177.2970050964486,2481.9452568381657,1.77018870322979,0.0847587132758088,0.0887438065840429,259.9931230545044,0.2734766629641518,4.132502179010771,1878.0625,0.2098522167487689,752.320197044335,9.955665024630544,296.0
amazon/chronos-t5-tiny,m1_quarterly,NVIDIA A100-SXM4-80GB,203,2695.770476354267,3027.406644211483,1.88545426151192,0.0914037329305114,0.0938417524328451,220.85933995246887,0.0806035577787517,1.1209850140148774,538.0625,0.9896551724137912,757.9950738916256,0.0738916256157635,20.0
amazon/chronos-t5-mini,m1_quarterly,NVIDIA A100-SXM4-80GB,203,2283.1946101964054,2622.4764772109306,1.810314210440182,0.0830366294392977,0.0923976823822346,220.9767978191376,0.081197695402323,1.3015711650950834,568.0625,0.932019704433496,752.6354679802955,0.0985221674876847,42.0
amazon/chronos-t5-small,m1_quarterly,NVIDIA A100-SXM4-80GB,203,2566.4812634131704,2906.0294618415487,1.7982538783720925,0.0894427064396514,0.091884374335835,224.4926242828369,0.0985683181014581,1.1772042500087991,638.0625,0.6241379310344808,752.4630541871921,0.2906403940886699,22.0
amazon/chronos-t5-base,m1_quarterly,NVIDIA A100-SXM4-80GB,203,2428.6620396695434,2745.2190293802746,1.797660041489579,0.0872786120136159,0.0901526091942881,235.7605788707733,0.1540180439911691,1.53109260101337,904.0625,1.245812807881773,756.4679802955665,1.438423645320197,126.0
amazon/chronos-t5-large,m1_monthly,NVIDIA A100-SXM4-80GB,617,1694.0446647440888,1996.677504045359,1.0856333441275383,0.1094634708159483,0.0754756807532753,958.6470749378204,0.5497634275489965,1.994952364009805,1878.0625,1.3040518638573806,744.1353322528363,31.78444084278768,411.9967585089141
amazon/chronos-t5-tiny,m1_monthly,NVIDIA A100-SXM4-80GB,617,1872.982711184336,2260.364393063649,1.2401910231220892,0.1144307960638805,0.0833606331562234,707.3394756317139,0.1424937885219904,1.1323692810256034,538.0625,0.7416531604538069,746.6612641815235,0.8573743922204214,42.0
