task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,0,400,7.2727,137.312,137.25,139.506,140.547
ecgclass__app1,0,401,7.2909,137.312,137.285,140.59,141.807
ecgclass__app2,0,401,7.2909,137.324,137.334,140.653,142.134
ecgclass__app3,0,401,7.2909,137.314,137.099,140.816,141.716
ecgclass__app4,0,401,7.2909,137.316,137.22,140.653,141.749
ecgclass__app5,0,401,7.2909,137.318,137.189,140.712,142.209
ecgclass__app6,0,401,7.2909,137.323,137.369,140.732,142.369
ecgclass__app7,0,401,7.2909,137.318,137.312,140.488,142.355
ecgclass__app8,0,401,7.2909,137.315,137.263,140.84,142.097
ecgclass__app9,0,401,7.2909,137.314,137.32,140.852,141.856
