task,device_url,n_requests,throughput_rps,avg_latency_ms
sst2,10.100.20.48:8001,1236,20.6,194.40122908373095
ag_news,10.100.20.48:8000,974,16.233333333333334,246.5298917504062
squad,10.100.20.48:8003,322,5.366666666666666,747.806239572371
conll2003,10.100.20.48:8002,103,1.7166666666666666,2343.020413685771
