task,device_url,n_requests,throughput_rps,avg_latency_ms
eclfore,10.100.31.64:8002,380,6.333333333333333,158.11927255831267
ecgclass,10.100.31.64:8000,381,6.35,157.70309490794585
gestureclass,10.100.31.64:8001,381,6.35,157.82206452737643
etth1fore,10.100.31.64:8003,382,6.366666666666666,157.43672785334562
