task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,70.0,542,67.75,3816.215,3831.744,5528.409,5743.422,45.996,43.532,0.003,0.467,3769.678,0.0,3770.219
gestureclass,stfq,50.0,407,50.875,6922.137,7831.462,8861.404,8920.405,45.531,43.35,0.003,0.704,6876.03,0.0,6876.607
