task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,3378,19.8706,35.402,32.854,62.149,75.333
gestureclass,sharing,3454,20.3176,36.166,33.538,62.668,80.109
