task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,797,79.7,22.551,21.8,35.788,40.872
gestureclass,no_sharing,803,80.3,22.627,22.145,35.244,40.053
