task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,133,2.4182,416.041,416.227,422.041,424.603
ecgclass__app1,1,132,2.4,416.137,416.648,422.914,426.846
ecgclass__app2,1,132,2.4,416.138,416.47,422.912,424.723
ecgclass__app3,1,132,2.4,416.122,416.108,423.157,426.073
ecgclass__app4,1,132,2.4,416.148,416.409,423.517,426.625
ecgclass__app5,1,132,2.4,416.163,416.639,423.508,425.211
ecgclass__app6,1,132,2.4,416.156,416.29,422.504,425.227
ecgclass__app7,1,132,2.4,416.136,416.034,422.902,425.496
ecgclass__app8,1,132,2.4,416.137,416.182,423.62,425.276
ecgclass__app9,1,132,2.4,416.154,416.296,422.817,424.51
