task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,380,38.0,19.229,15.113,35.455,67.945
gestureclass,no_sharing,425,42.5,17.823,14.988,27.252,40.623
