task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,50.0,392,49.0,4593.83,4724.381,6778.386,7016.175,99.473,96.883,0.003,0.64,4493.681,0.0,4494.357
gestureclass,fifo,50.0,392,49.0,8358.854,9331.591,10873.494,10931.693,118.372,116.559,0.003,0.38,8239.797,0.0,8240.482
