task,device,t_center,count,throughput_rps,p50_ms,p99_ms
exchangefore,192.168.245.193:8000,0.5,6,6.0,80.2154541015625,121.38832807540894
exchangefore,192.168.245.193:8000,1.5,5,5.0,61.54298782348633,103.18408966064453
exchangefore,192.168.245.193:8000,2.5,5,5.0,64.54658508300781,95.50080299377441
exchangefore,192.168.245.193:8000,3.5,2,2.0,71.19560241699219,90.4930067062378
exchangefore,192.168.245.193:8000,4.5,5,5.0,73.46034049987793,109.65885162353517
exchangefore,192.168.245.193:8000,5.5,3,3.0,88.7155532836914,110.57726860046387
exchangefore,192.168.245.193:8000,6.5,7,7.0,53.68161201477051,96.73157691955565
exchangefore,192.168.245.193:8000,7.5,7,7.0,57.77883529663086,105.20609855651853
exchangefore,192.168.245.193:8000,8.5,1,1.0,65.23847579956055,65.23847579956055
exchangefore,192.168.245.193:8000,9.5,5,5.0,57.31081962585449,68.68788719177246
exchangefore,192.168.245.193:8000,10.5,6,6.0,68.56727600097656,104.66440916061403
exchangefore,192.168.245.193:8000,11.5,3,3.0,84.47384834289551,88.94147396087646
exchangefore,192.168.245.193:8000,12.5,9,9.0,57.491302490234375,86.9602108001709
exchangefore,192.168.245.193:8000,13.5,7,7.0,74.59497451782227,107.09088802337646
exchangefore,192.168.245.193:8000,14.5,3,3.0,54.81886863708496,95.51933288574219
exchangefore,192.168.245.193:8000,15.5,3,3.0,80.86323738098145,84.16541576385498
exchangefore,192.168.245.193:8000,16.5,11,11.0,47.09935188293457,95.29862403869629
exchangefore,192.168.245.193:8000,17.5,3,3.0,55.860280990600586,62.77305603027343
exchangefore,192.168.245.193:8000,18.5,12,12.0,119.73929405212402,187.02799558639526
exchangefore,192.168.245.193:8000,19.5,8,8.0,85.50906181335449,105.43053150177002
exchangefore,192.168.245.193:8000,20.5,15,15.0,64.2693042755127,106.03003501892088
exchangefore,192.168.245.193:8000,21.5,11,11.0,55.63092231750488,104.87902164459229
exchangefore,192.168.245.193:8000,22.5,5,5.0,62.657833099365234,87.87243843078613
exchangefore,192.168.245.193:8000,23.5,11,11.0,52.03604698181152,109.24720764160158
exchangefore,192.168.245.193:8000,24.5,6,6.0,59.82387065887451,92.55173206329344
exchangefore,192.168.245.193:8000,25.5,2,2.0,86.46798133850098,112.24660873413085
exchangefore,192.168.245.193:8000,26.5,3,3.0,53.41839790344238,60.580711364746094
exchangefore,192.168.245.193:8000,27.5,8,8.0,50.766944885253906,82.8899884223938
exchangefore,192.168.245.193:8000,28.5,3,3.0,80.21688461303711,93.12045097351074
exchangefore,192.168.245.193:8000,29.5,4,4.0,80.11460304260254,111.51958227157593
exchangefore,192.168.245.193:8000,30.5,6,6.0,99.24352169036865,124.25611019134521
exchangefore,192.168.245.193:8000,31.5,3,3.0,115.01240730285645,130.32140254974365
exchangefore,192.168.245.193:8000,32.5,6,6.0,98.5647439956665,132.79112577438354
exchangefore,192.168.245.193:8000,33.5,5,5.0,118.0899143218994,131.63141250610352
exchangefore,192.168.245.193:8000,34.5,6,6.0,110.18180847167969,135.77109575271606
exchangefore,192.168.245.193:8000,35.5,7,7.0,103.11627388000488,140.8146095275879
exchangefore,192.168.245.193:8000,36.5,5,5.0,96.23360633850098,121.5434169769287
exchangefore,192.168.245.193:8000,37.5,6,6.0,105.15570640563966,134.16945934295654
exchangefore,192.168.245.193:8000,38.5,6,6.0,115.4019832611084,137.928569316864
exchangefore,192.168.245.193:8000,39.5,6,6.0,110.82923412322998,143.27003955841064
exchangefore,192.168.245.193:8000,40.5,3,3.0,124.1302490234375,135.89523792266846
exchangefore,192.168.245.193:8000,41.5,2,2.0,111.03594303131104,135.95345258712769
exchangefore,192.168.245.193:8000,42.5,5,5.0,108.2453727722168,124.75982666015626
exchangefore,192.168.245.193:8000,43.5,8,8.0,101.27413272857666,140.63009023666382
exchangefore,192.168.245.193:8000,44.5,4,4.0,121.84524536132812,136.31894826889038
exchangefore,192.168.245.193:8000,45.5,5,5.0,103.00540924072266,132.14455604553223
exchangefore,192.168.245.193:8000,46.5,7,7.0,93.23930740356444,124.77333068847655
exchangefore,192.168.245.193:8000,47.5,5,5.0,94.42806243896484,135.90021133422852
exchangefore,192.168.245.193:8000,48.5,7,7.0,105.61108589172365,138.4221649169922
exchangefore,192.168.245.193:8000,49.5,7,7.0,126.59597396850586,134.98597621917725
exchangefore,192.168.245.193:8000,50.5,4,4.0,105.4821014404297,125.60834169387817
exchangefore,192.168.245.193:8000,51.5,7,7.0,132.66444206237793,201.95738792419436
exchangefore,192.168.245.193:8000,52.5,4,4.0,159.61384773254395,207.52703666687012
exchangefore,192.168.245.193:8000,53.5,10,10.0,114.12882804870605,156.23517274856567
exchangefore,192.168.245.193:8000,54.5,6,6.0,107.31291770935059,137.65228986740112
exchangefore,192.168.245.193:8000,55.5,4,4.0,124.84896183013916,135.27894258499146
exchangefore,192.168.245.193:8000,56.5,8,8.0,93.21653842926025,177.67295598983765
exchangefore,192.168.245.193:8000,57.5,1,1.0,105.5927276611328,105.5927276611328
exchangefore,192.168.245.193:8000,58.5,2,2.0,122.2447156906128,136.91526174545288
exchangefore,192.168.245.193:8000,59.5,6,6.0,113.23738098144531,129.72254753112793
exchangefore,192.168.245.193:8000,60.5,7,7.0,96.58217430114746,125.8832550048828
exchangefore,192.168.245.193:8000,61.5,3,3.0,110.55326461791992,125.13794422149658
exchangefore,192.168.245.193:8000,62.5,5,5.0,127.90322303771973,145.89704513549805
exchangefore,192.168.245.193:8000,63.5,7,7.0,109.7569465637207,139.46139335632324
exchangefore,192.168.245.193:8000,64.5,9,9.0,76.81727409362793,101.41520500183107
exchangefore,192.168.245.193:8000,65.5,8,8.0,65.84405899047852,90.53703546524048
exchangefore,192.168.245.193:8000,66.5,5,5.0,70.63150405883789,79.02758598327637
exchangefore,192.168.245.193:8000,67.5,4,4.0,50.35436153411865,124.72983598709104
exchangefore,192.168.245.193:8000,68.5,6,6.0,61.88666820526123,104.97525930404665
exchangefore,192.168.245.193:8000,69.5,9,9.0,67.51799583435059,112.37866401672363
exchangefore,192.168.245.193:8000,70.5,2,2.0,75.32715797424316,93.17289352416992
exchangefore,192.168.245.193:8000,71.5,9,9.0,64.53633308410645,95.40903091430664
exchangefore,192.168.245.193:8000,72.5,2,2.0,59.050559997558594,69.04284477233887
exchangefore,192.168.245.193:8000,73.5,5,5.0,91.35580062866212,100.14166831970215
exchangefore,192.168.245.193:8000,74.5,9,9.0,83.9691162109375,112.77552604675293
exchangefore,192.168.245.193:8000,75.5,6,6.0,74.10669326782227,118.9612865447998
exchangefore,192.168.245.193:8000,76.5,6,6.0,85.94775199890137,132.96998739242554
exchangefore,192.168.245.193:8000,77.5,7,7.0,70.20258903503418,119.4254970550537
exchangefore,192.168.245.193:8000,78.5,4,4.0,54.59427833557129,76.25974416732788
exchangefore,192.168.245.193:8000,79.5,3,3.0,50.96769332885742,71.3725996017456
exchangefore,192.168.245.193:8000,80.5,1,1.0,43.58983039855957,43.58983039855957
exchangefore,192.168.245.193:8000,81.5,5,5.0,60.83583831787109,87.16276168823242
exchangefore,192.168.245.193:8000,82.5,8,8.0,73.14229011535645,131.46535873413086
exchangefore,192.168.245.193:8000,83.5,3,3.0,110.81171035766602,127.70835876464844
exchangefore,192.168.245.193:8000,84.5,8,8.0,81.95364475250244,108.23243141174318
exchangefore,192.168.245.193:8000,85.5,3,3.0,75.17528533935547,86.94050788879395
exchangefore,192.168.245.193:8000,86.5,7,7.0,104.0487289428711,163.0476140975952
exchangefore,192.168.245.193:8000,87.5,7,7.0,77.72517204284668,124.35310840606687
exchangefore,192.168.245.193:8000,88.5,9,9.0,122.12777137756348,201.32719039916992
exchangefore,192.168.245.193:8000,89.5,5,5.0,75.03414154052734,103.85807991027832
exchangefore,192.168.245.193:8000,90.5,3,3.0,81.00008964538574,100.65053939819337
exchangefore,192.168.245.193:8000,91.5,4,4.0,71.20418548583984,80.61627626419067
exchangefore,192.168.245.193:8000,92.5,7,7.0,52.02913284301758,105.5483865737915
exchangefore,192.168.245.193:8000,93.5,1,1.0,84.38372611999512,84.38372611999512
exchangefore,192.168.245.193:8000,94.5,6,6.0,69.65327262878418,74.97389316558838
exchangefore,192.168.245.193:8000,95.5,5,5.0,68.07374954223633,89.1990852355957
exchangefore,192.168.245.193:8000,96.5,11,11.0,104.01248931884766,187.15875148773196
exchangefore,192.168.245.193:8000,97.5,2,2.0,77.56602764129639,81.47721529006958
exchangefore,192.168.245.193:8000,98.5,5,5.0,60.43004989624024,98.4933090209961
exchangefore,192.168.245.193:8000,99.5,4,4.0,84.86127853393555,108.92834663391113
exchangefore,192.168.245.193:8000,100.5,2,2.0,75.93977451324463,107.45019197463989
exchangefore,192.168.245.193:8000,101.5,6,6.0,85.837721824646,95.191490650177
exchangefore,192.168.245.193:8000,102.5,3,3.0,42.14072227478027,68.16888809204102
exchangefore,192.168.245.193:8000,103.5,3,3.0,53.344011306762695,54.763202667236335
exchangefore,192.168.245.193:8000,104.5,2,2.0,81.97987079620361,87.83946752548218
exchangefore,192.168.245.193:8000,105.5,3,3.0,80.88159561157227,111.46477222442627
exchangefore,192.168.245.193:8000,106.5,7,7.0,111.12594604492188,135.40791988372803
