task,t_center,arrival_rps,served_rps,arr_count,srv_count
exchangefore,106.5,6.0,7.0,6.0,7.0
exchangefore,107.5,6.0,4.0,6.0,4.0
exchangefore,108.5,5.0,7.0,5.0,7.0
exchangefore,109.5,9.0,8.0,9.0,8.0
exchangefore,110.5,3.0,3.0,3.0,3.0
exchangefore,111.5,5.0,6.0,5.0,6.0
exchangefore,112.5,9.0,8.0,9.0,8.0
exchangefore,113.5,4.0,5.0,4.0,5.0
exchangefore,114.5,4.0,4.0,4.0,4.0
exchangefore,115.5,8.0,8.0,8.0,8.0
exchangefore,116.5,4.0,4.0,4.0,4.0
exchangefore,117.5,5.0,5.0,5.0,5.0
exchangefore,118.5,5.0,5.0,5.0,5.0
exchangefore,119.5,5.0,4.0,5.0,4.0
exchangefore,120.5,0.0,1.0,0.0,1.0
nyudepth,0.5,9.0,9.0,9.0,9.0
nyudepth,1.5,8.0,8.0,8.0,8.0
nyudepth,2.5,4.0,3.0,4.0,3.0
nyudepth,3.5,6.0,7.0,6.0,7.0
nyudepth,4.5,6.0,6.0,6.0,6.0
nyudepth,5.5,7.0,7.0,7.0,7.0
nyudepth,6.5,8.0,8.0,8.0,8.0
nyudepth,7.5,7.0,7.0,7.0,7.0
nyudepth,8.5,6.0,6.0,6.0,6.0
nyudepth,9.5,6.0,6.0,6.0,6.0
nyudepth,10.5,10.0,10.0,10.0,10.0
nyudepth,11.5,13.0,13.0,13.0,13.0
nyudepth,12.5,2.0,2.0,2.0,2.0
nyudepth,13.5,8.0,8.0,8.0,8.0
nyudepth,14.5,5.0,4.0,5.0,4.0
nyudepth,15.5,4.0,5.0,4.0,5.0
nyudepth,16.5,5.0,4.0,5.0,4.0
nyudepth,17.5,2.0,3.0,2.0,3.0
nyudepth,18.5,5.0,5.0,5.0,5.0
nyudepth,19.5,4.0,4.0,4.0,4.0
nyudepth,20.5,3.0,3.0,3.0,3.0
nyudepth,21.5,6.0,6.0,6.0,6.0
nyudepth,22.5,4.0,4.0,4.0,4.0
nyudepth,23.5,5.0,5.0,5.0,5.0
