req_id,task,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,diasbp,1e-06,300.5641,1775274751557952415,1775274751846366879
1,ecgclass,1.6e-05,439.0831,1775274751855506777,1775274751982095953
2,eclfore,2.3e-05,439.4808,1775274751855506777,1775274751982095953
3,etth1fore,2.8e-05,439.4855,1775274751855506777,1775274751982095953
4,exchangefore,3.2e-05,439.7025,1775274751855506777,1775274751982095953
5,gestureclass,3.6e-05,439.903,1775274751855506777,1775274751982095953
6,heartrate,4.1e-05,439.9073,1775274751855506777,1775274751982095953
7,sysbp,4.5e-05,439.9092,1775274751855506777,1775274751982095953
8,trafficfore,4.9e-05,440.1379,1775274751855506777,1775274751982095953
9,weatherfore,5.4e-05,440.1422,1775274751855506777,1775274751982095953
10,eclfore,0.001338,439.0337,1775274751855506777,1775274751982095953
11,eclfore,0.00359,436.7933,1775274751855506777,1775274751982095953
12,exchangefore,0.004864,435.5283,1775274751855506777,1775274751982095953
13,exchangefore,0.007184,433.4397,1775274751855506777,1775274751982095953
14,etth1fore,0.014498,426.1389,1775274751855506777,1775274751982095953
15,etth1fore,0.014515,426.2862,1775274751855506777,1775274751982095953
16,gestureclass,0.031096,409.7178,1775274751855506777,1775274751982095953
17,sysbp,0.038631,402.1919,1775274751855506777,1775274751982095953
18,ecgclass,0.044039,396.9703,1775274751855506777,1775274751982095953
19,diasbp,0.045418,395.6017,1775274751855506777,1775274751982095953
20,weatherfore,0.046759,394.5093,1775274751855506777,1775274751982095953
21,heartrate,0.064124,377.1584,1775274751855506777,1775274751982095953
22,trafficfore,0.064535,376.9448,1775274751855506777,1775274751982095953
23,exchangefore,0.070869,370.6236,1775274751855506777,1775274751982095953
24,weatherfore,0.077204,364.296,1775274751855506777,1775274751982095953
25,gestureclass,0.089621,352.5555,1775274751855506777,1775274751982095953
26,ecgclass,0.093285,348.9041,1775274751855506777,1775274751982095953
27,weatherfore,0.093544,348.9022,1775274751855506777,1775274751982095953
28,trafficfore,0.104916,337.5425,1775274751855506777,1775274751982095953
29,etth1fore,0.109383,333.0834,1775274751855506777,1775274751982095953
30,heartrate,0.113761,328.7127,1775274751855506777,1775274751982095953
31,diasbp,0.115188,327.2913,1775274751855506777,1775274751982095953
32,sysbp,0.115202,327.7621,1775274751855506777,1775274751982095953
33,sysbp,0.123671,319.3069,1775274751855506777,1775274751982095953
34,weatherfore,0.138036,305.2483,1775274751855506777,1775274751982095953
35,sysbp,0.138274,305.0199,1775274751855506777,1775274751982095953
36,diasbp,0.142745,300.5548,1775274751855506777,1775274751982095953
37,heartrate,0.142759,300.5455,1775274751855506777,1775274751982095953
38,heartrate,0.144213,299.098,1775274751855506777,1775274751982095953
39,diasbp,0.152659,290.659,1775274751855506777,1775274751982095953
40,eclfore,0.159136,284.1907,1775274751855506777,1775274751982095953
41,gestureclass,0.169564,273.7713,1775274751855506777,1775274751982095953
42,heartrate,0.180167,263.1752,1775274751855506777,1775274751982095953
43,exchangefore,0.180191,263.1583,1775274751855506777,1775274751982095953
44,gestureclass,0.180199,263.4957,1775274751855506777,1775274751982095953
45,trafficfore,0.184023,259.685,1775274751855506777,1775274751982095953
46,eclfore,0.184284,259.4335,1775274751855506777,1775274751982095953
47,diasbp,0.187594,256.4368,1775274751855506777,1775274751982095953
48,heartrate,0.188909,255.1312,1775274751855506777,1775274751982095953
49,exchangefore,0.18892,255.1255,1775274751855506777,1775274751982095953
50,eclfore,0.190283,253.767,1775274751855506777,1775274751982095953
51,trafficfore,0.197577,246.4774,1775274751855506777,1775274751982095953
52,heartrate,0.209035,235.0245,1775274751855506777,1775274751982095953
53,diasbp,0.216414,227.8719,1775274751855506777,1775274751982095953
54,weatherfore,0.218822,225.4717,1775274751855506777,1775274751982095953
55,weatherfore,0.220145,224.1542,1775274751855506777,1775274751982095953
56,sysbp,0.230458,213.8453,1775274751855506777,1775274751982095953
57,diasbp,0.232859,211.4484,1775274751855506777,1775274751982095953
58,eclfore,0.248208,196.2113,1775274751855506777,1775274751982095953
59,ecgclass,0.25465,189.775,1775274751855506777,1775274751982095953
60,exchangefore,0.261037,183.393,1775274751855506777,1775274751982095953
61,gestureclass,0.261053,183.3808,1775274751855506777,1775274751982095953
62,ecgclass,0.265619,178.8352,1775274751855506777,1775274751982095953
63,trafficfore,0.268969,175.4894,1775274751855506777,1775274751982095953
64,weatherfore,0.2743,170.1629,1775274751855506777,1775274751982095953
65,exchangefore,0.274316,232.7886,1775274752003408337,1775274752052924227
66,sysbp,0.276897,230.2897,1775274752003408337,1775274752052924227
67,diasbp,0.283211,223.9833,1775274752003408337,1775274752052924227
68,trafficfore,0.284642,222.8968,1775274752003408337,1775274752052924227
69,weatherfore,0.285936,221.8325,1775274752003408337,1775274752052924227
70,eclfore,0.285948,221.8287,1775274752003408337,1775274752052924227
71,ecgclass,0.291377,216.6891,1775274752003408337,1775274752052924227
72,heartrate,0.302674,205.5323,1775274752003408337,1775274752052924227
73,weatherfore,0.30402,204.3371,1775274752003408337,1775274752052924227
74,ecgclass,0.310344,198.0257,1775274752003408337,1775274752052924227
75,trafficfore,0.32467,183.8784,1775274752003408337,1775274752052924227
76,etth1fore,0.333035,175.5245,1775274752003408337,1775274752052924227
77,diasbp,0.333306,175.6575,1775274752003408337,1775274752052924227
78,sysbp,0.337679,171.3994,1775274752003408337,1775274752052924227
79,eclfore,0.344066,165.1893,1775274752003408337,1775274752052924227
80,ecgclass,0.348377,160.8906,1775274752003408337,1775274752052924227
81,exchangefore,0.355716,153.6651,1775274752003408337,1775274752052924227
82,exchangefore,0.359023,150.4109,1775274752003408337,1775274752052924227
83,heartrate,0.36632,143.4073,1775274752003408337,1775274752052924227
