task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,1424,4.9103,62.705,55.496,100.075,126.373,49.069,46.762,0.002,1.085,12.795,13.636
gestureclass,sharing,1467,5.0586,63.637,55.596,102.015,131.271,49.218,46.727,0.002,1.071,13.58,14.42
