req_id,task,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,diasbp,1e-06,590.5683,1775274660503885156,1775274661085913482
1,ecgclass,1.4e-05,760.3023,1775274661095446672,1775274661255609415
2,eclfore,1.9e-05,760.5283,1775274661095446672,1775274661255609415
3,etth1fore,2.3e-05,760.5319,1775274661095446672,1775274661255609415
4,exchangefore,2.7e-05,760.5393,1775274661095446672,1775274661255609415
5,gestureclass,3.1e-05,760.989,1775274661095446672,1775274661255609415
6,heartrate,3.4e-05,761.0617,1775274661095446672,1775274661255609415
7,sysbp,3.8e-05,761.3242,1775274661095446672,1775274661255609415
8,trafficfore,4.2e-05,761.332,1775274661095446672,1775274661255609415
9,weatherfore,4.6e-05,761.349,1775274661095446672,1775274661255609415
10,eclfore,0.002378,759.3691,1775274661095446672,1775274661255609415
11,eclfore,0.006631,755.3759,1775274661095446672,1775274661255609415
12,exchangefore,0.009937,752.347,1775274661095446672,1775274661255609415
13,exchangefore,0.01435,748.0521,1775274661095446672,1775274661255609415
14,etth1fore,0.028607,734.2126,1775274661095446672,1775274661255609415
15,etth1fore,0.028801,734.0302,1775274661095446672,1775274661255609415
16,gestureclass,0.061116,701.7338,1775274661095446672,1775274661255609415
17,sysbp,0.075609,687.9113,1775274661095446672,1775274661255609415
18,ecgclass,0.087132,676.4019,1775274661095446672,1775274661255609415
19,diasbp,0.089491,674.0499,1775274661095446672,1775274661255609415
20,weatherfore,0.09282,670.7249,1775274661095446672,1775274661255609415
21,heartrate,0.126441,637.1088,1775274661095446672,1775274661255609415
22,trafficfore,0.128862,635.0329,1775274661095446672,1775274661255609415
23,exchangefore,0.140371,623.5337,1775274661095446672,1775274661255609415
24,weatherfore,0.152687,611.2227,1775274661095446672,1775274661255609415
25,gestureclass,0.178035,586.0424,1775274661095446672,1775274661255609415
26,ecgclass,0.185716,578.5043,1775274661095446672,1775274661255609415
27,weatherfore,0.18804,576.1909,1775274661095446672,1775274661255609415
28,trafficfore,0.208325,555.9602,1775274661095446672,1775274661255609415
29,etth1fore,0.218655,545.6364,1775274661095446672,1775274661255609415
30,heartrate,0.226975,537.3325,1775274661095446672,1775274661255609415
31,diasbp,0.2303,534.2791,1775274661095446672,1775274661255609415
32,sysbp,0.230316,534.3707,1775274661095446672,1775274661255609415
33,sysbp,0.246826,517.9031,1775274661095446672,1775274661255609415
34,weatherfore,0.275213,489.9776,1775274661095446672,1775274661255609415
35,sysbp,0.276521,488.7168,1775274661095446672,1775274661255609415
36,diasbp,0.284808,481.3619,1775274661095446672,1775274661255609415
37,heartrate,0.28617,480.0127,1775274661095446672,1775274661255609415
38,heartrate,0.287488,478.7033,1775274661095446672,1775274661255609415
39,diasbp,0.304912,461.4334,1775274661095446672,1775274661255609415
40,eclfore,0.317236,449.2133,1775274661095446672,1775274661255609415
41,gestureclass,0.336587,429.9312,1775274661095446672,1775274661255609415
42,heartrate,0.357108,409.9126,1775274661095446672,1775274661255609415
43,exchangefore,0.357121,409.9114,1775274661095446672,1775274661255609415
44,gestureclass,0.357129,410.5747,1775274661095446672,1775274661255609415
45,trafficfore,0.367703,400.0134,1775274661095446672,1775274661255609415
46,eclfore,0.368974,398.752,1775274661095446672,1775274661255609415
47,diasbp,0.374302,393.4324,1775274661095446672,1775274661255609415
48,heartrate,0.376585,391.4125,1775274661095446672,1775274661255609415
49,exchangefore,0.377835,390.2988,1775274661095446672,1775274661255609415
50,eclfore,0.37908,389.0858,1775274661095446672,1775274661255609415
51,trafficfore,0.393399,374.7764,1775274661095446672,1775274661255609415
52,heartrate,0.4168,351.3811,1775274661095446672,1775274661255609415
53,diasbp,0.432163,336.1654,1775274661095446672,1775274661255609415
54,weatherfore,0.437499,330.9376,1775274661095446672,1775274661255609415
55,weatherfore,0.439807,328.6359,1775274661095446672,1775274661255609415
56,sysbp,0.45908,309.3679,1775274661095446672,1775274661255609415
57,diasbp,0.465418,303.0889,1775274661095446672,1775274661255609415
58,eclfore,0.495749,272.7633,1775274661095446672,1775274661255609415
59,ecgclass,0.510194,258.3225,1775274661095446672,1775274661255609415
60,exchangefore,0.520546,247.9868,1775274661095446672,1775274661255609415
61,gestureclass,0.520561,248.6572,1775274661095446672,1775274661255609415
62,ecgclass,0.53108,238.2348,1775274661095446672,1775274661255609415
63,trafficfore,0.538681,231.0305,1775274661095446672,1775274661255609415
64,weatherfore,0.548971,220.7489,1775274661095446672,1775274661255609415
65,exchangefore,0.548985,299.2167,1775274661272979555,1775274661343484071
66,sysbp,0.553536,294.6839,1775274661272979555,1775274661343484071
67,diasbp,0.565837,282.6085,1775274661272979555,1775274661343484071
68,trafficfore,0.569162,279.4878,1775274661272979555,1775274661343484071
69,weatherfore,0.570468,278.3613,1775274661272979555,1775274661343484071
70,eclfore,0.570663,278.1777,1775274661272979555,1775274661343484071
71,ecgclass,0.581977,267.02,1775274661272979555,1775274661343484071
72,heartrate,0.604699,244.3094,1775274661272979555,1775274661343484071
73,weatherfore,0.607044,242.373,1775274661272979555,1775274661343484071
