batch_start_ns,observed_batch_size,send_time_rel_first
1775250631759988420,4,13.029807
1775250631800889519,5,13.042658
1775250631828683754,41,13.049594
1775250631928601878,3,13.180389
1775250631955463127,13,13.191669
1775250632002163204,3,13.25389
1775250632042966284,4,13.284397
1775250632091258724,3,13.302483
1775250632133946919,3,13.306397
1775250632175137172,5,13.321807
1775250632210536166,3,13.330933
1775250632250520419,4,13.336296
1775250632276429329,6,13.346548
1775250632322922399,4,13.360092
1775250632372258514,4,13.369242
1775250632427059071,6,13.385145
1775250632468513735,4,13.414137
1775250632516685984,5,13.43147
1775250632558105726,5,13.451789
1775250632610190438,5,13.468699
1775250632654990018,6,13.471668
1775250632697917434,4,13.49648
1775250632723672022,5,13.502844
1775250632771943929,5,13.523316
1775250632825139803,4,13.530567
1775250632867206727,4,13.539799
1775250632914861194,5,13.553499
1775250632957140476,5,13.559647
1775250633002930889,4,13.577289
1775250633050782521,5,13.597044
1775250633102969272,4,13.610743
1775250633152859933,4,13.620112
1775250633201149372,6,13.633769
1775250633251078176,5,13.650787
1775250633299032647,5,13.662119
1775250633352952021,3,13.709724
1775250633387292307,4,13.729089
1775250633429208419,3,13.750265
1775250633472103652,5,13.761585
1775250633526250555,4,13.774747
1775250633561103994,6,13.782802
1775250633601704688,4,13.80162
1775250633660810160,5,13.808741
1775250633696132877,4,13.82782
1775250633712408092,4,13.849185
1775250633759809267,28,13.855308
1775250633818417198,9,13.922136
1775250633867810938,6,13.936769
1775250633908610668,7,13.953206
1775250633950456825,4,13.982391
1775250633990981292,6,13.99625
1775250634038794382,4,14.019418
1775250634088104405,4,14.023675
1775250634134930703,5,14.032865
1775250634187511206,5,14.051351
1775250634239989251,4,14.068902
1775250634287877786,5,14.189666
1775250634330385007,6,14.189697
1775250634372213982,3,14.189727
1775250634419837476,4,14.189739
1775250634456037337,5,14.189751
1775250634498563479,4,14.189768
1775250634531377220,4,14.189784
1775250634574868062,4,14.189796
1775250634621569709,5,14.189812
1775250634667389704,6,14.189832
1775250634707718655,3,14.202204
1775250634746622969,4,14.213571
1775250634782273104,6,14.2222
1775250634828772405,3,14.243005
1775250634869313263,5,14.262812
1775250634910064499,5,14.274239
1775250634957556402,5,14.286755
1775250634999819873,6,14.297762
1775250635038509089,9,14.319545
1775250635065833576,8,14.357987
1775250635110636787,12,14.368005
1775250635162722549,3,14.401519
1775250635201511203,8,14.421909
1775250635260211202,5,14.447078
1775250635301060306,4,14.462666
1775250635351611581,4,14.483005
1775250635395028068,4,14.493691
1775250635440105071,5,14.500973
1775250635469182223,6,14.51321
1775250635516343259,3,14.552014
1775250635558243020,4,14.558056
1775250635606289538,4,14.565138
1775250635654895823,6,14.572863
1775250635701762664,7,14.588931
1775250635742893062,4,14.613288
1775250635790826841,6,14.631099
1775250635824845091,4,14.645161
1775250635859911638,5,14.659803
1775250635906121584,3,14.68492
1775250635946792634,3,14.691669
1775250635982996945,5,14.697534
1775250636024852432,4,14.715406
1775250636069451546,4,14.726939
1775250636117956092,6,14.73592
1775250636174276744,5,14.751029
1775250636213561649,4,14.76752
1775250636245663751,5,14.775367
1775250636282039076,4,14.78798
1775250636316125051,4,14.797233
1775250636358364450,4,14.805402
1775250636405464611,3,14.810201
1775250636447058616,5,14.820392
1775250636485087347,6,14.840138
1775250636534908463,3,14.854593
1775250636575802361,5,14.858568
1775250636635210408,5,14.878335
1775250636685082377,5,14.887532
1775250636733391388,5,14.892497
1775250636772996459,5,14.908312
1775250636804537434,6,14.926527
1775250636853708056,3,14.944497
1775250636899448944,3,14.952429
1775250636945996079,7,14.956155
1775250636992040612,4,14.981546
1775250637033308011,6,14.987619
1775250637079299660,4,15.00247
1775250637107208485,7,15.016049
1775250637158558627,3,15.045314
1775250637199656071,4,15.049105
1775250637239760074,5,15.060668
1775250637280048352,4,15.081034
1775250637336914049,4,15.092155
1775250637379913911,5,15.120936
1775250637414597446,3,15.135599
1775250637460988948,4,15.159497
1775250637503696645,7,15.16856
1775250637550253541,3,15.193761
1775250637599615158,6,15.203629
1775250637651945571,4,15.223052
1775250637688241659,5,15.236206
1775250637737841846,4,15.240669
1775250637773022552,5,15.246875
1775250637812830170,3,15.25464
1775250637858235241,4,15.276059
1775250637901134484,5,15.2997
1775250637951193699,4,15.311971
1775250637983841786,6,15.32588
1775250638033979398,3,15.339448
1775250638074936150,5,15.347677
1775250638124490584,5,15.364577
1775250638168496499,6,15.386003
1775250638222465336,5,15.400504
1775250638257028682,2,15.422123
1775250638302161270,5,15.42214
1775250638355044818,7,15.43721
1775250638402336864,4,15.465225
1775250638442946939,6,15.477678
1775250638517155009,5,15.501346
1775250638566990975,5,15.5128
1775250638606232866,4,15.523382
1775250638657422865,5,15.538772
1775250638687570395,5,15.565529
1775250638738800566,4,15.579147
1775250638794775660,4,15.59618
1775250638834958129,4,15.603416
1775250638875418361,4,15.613007
1775250638925239246,3,15.628335
1775250638973725622,6,15.637133
1775250639007676026,4,15.656005
1775250639063526469,4,15.662158
1775250639095478848,5,15.6764
1775250639142534595,5,15.700651
1775250639175275310,5,15.728895
1775250639222885312,3,15.743652
1775250639268503440,5,15.759702
1775250639317117696,5,15.76484
1775250639362111882,5,15.771904
1775250639412694461,4,15.782408
1775250639459996568,6,15.789469
1775250639501654079,4,15.821586
1775250639535472942,5,15.828717
1775250639570541249,3,15.840662
1775250639614841668,5,15.848397
1775250639651108774,4,15.860989
1775250639686118606,5,15.877227
1775250639733316204,4,15.895235
1775250639760451195,4,15.911185
1775250639782257857,4,15.922726
1775250639822883943,27,15.94089
1775250639888246442,5,16.003195
1775250639935170427,7,16.025078
1775250639990200163,4,16.050133
1775250640029613768,4,16.056434
1775250640076640013,3,16.073795
1775250640119402625,4,16.078878
1775250640153042944,4,16.102077
1775250640191941087,5,16.107413
1775250640240874139,5,16.116786
1775250640282356395,2,16.131747
1775250640308896388,5,16.134143
1775250640355902250,3,16.144968
1775250640397458833,3,16.161227
1775250640430403194,5,16.173105
1775250640477685830,4,16.18764
1775250640525521831,5,16.195559
1775250640567045471,5,16.20491
1775250640608113913,4,16.217765
1775250640650788818,4,16.22763
1775250640706273481,4,16.239785
1775250640748339406,5,16.253123
1775250640795776384,5,16.270772
1775250640842373163,4,16.289719
1775250640888093360,6,16.299953
1775250640922094528,4,16.311394
1775250640954226813,3,16.326637
1775250641003288495,3,16.331612
1775250641034664207,7,16.343488
1775250641081539819,4,16.369215
1775250641122047715,5,16.376214
1775250641164752062,4,16.3901
1775250641205733367,4,16.398391
1775250641253063897,5,16.417687
1775250641296381945,4,16.44211
1775250641329789074,6,16.458765
1775250641369441410,3,16.471578
1775250641414630272,6,16.47467
1775250641457279645,4,16.495582
1775250641490559324,4,16.499331
1775250641540468577,5,16.501988
1775250641589083732,5,16.514807
1775250641627004605,6,16.527246
1775250641663524231,4,16.545393
1775250641710555816,3,16.550754
1775250641744688606,6,16.564854
1775250641782035530,5,16.591224
1775250641827726765,3,16.604913
1775250641880367763,7,16.608843
1775250641938836282,5,16.661879
1775250641987631663,5,16.683973
1775250642024341405,3,16.706855
1775250642083762013,5,16.72218
1775250642131445122,4,16.731537
1775250642159455295,5,16.753112
1775250642205212795,3,16.783651
1775250642245617063,4,16.785476
1775250642288357053,4,16.798393
1775250642338754966,5,16.804714
1775250642391016113,4,16.817131
1775250642430966183,4,16.831207
1775250642467819107,7,16.842485
1775250642516363257,4,16.888899
1775250642554876128,4,16.89512
1775250642595636645,4,16.90844
1775250642637345960,4,16.915515
1775250642682931245,6,16.934871
1775250642721707588,5,16.954993
1775250642760241511,5,16.981449
1775250642808390098,4,16.989758
1775250642850310141,5,17.036535
1775250642891045386,5,17.061875
1775250642938001524,3,17.083919
1775250642993865369,4,17.091983
1775250643034828532,5,17.106288
1775250643069651439,3,17.123803
1775250643108762500,4,17.142875
1775250643154745578,4,17.151081
1775250643202935398,6,17.158212
1775250643224430484,3,17.173223
1775250643280822752,4,17.180028
1775250643322087580,4,17.187067
1775250643365484435,5,17.195988
1775250643407271037,6,17.209504
1775250643446184541,5,17.240601
1775250643481295201,3,17.256768
1775250643531607147,4,17.276628
1775250643580661989,5,17.283761
1775250643627650760,5,17.298958
1775250643668671938,5,17.315504
1775250643717395953,5,17.336468
1775250643768817081,4,17.348553
1775250643815323242,5,17.363656
1775250643869075032,6,17.369777
1775250643895479013,5,17.392615
1775250643948203578,4,17.416731
1775250643993897392,5,17.440655
1775250644044129862,4,17.457404
1775250644078834738,6,17.464282
1775250644132306825,5,17.481068
1775250644163213608,5,17.490032
1775250644221428607,4,17.495151
1775250644267346759,4,17.505137
1775250644301610610,5,17.514705
1775250644336974431,5,17.527158
1775250644373277979,3,17.564674
1775250644408125097,4,17.59462
1775250644448013002,4,17.608038
1775250644487193619,6,17.615485
1775250644527094504,3,17.628996
1775250644577814764,4,17.633946
1775250644616353897,4,17.643737
1775250644665699533,6,17.650018
1775250644717039184,5,17.676471
1775250644751506341,4,17.70173
1775250644793303124,5,17.7146
1775250644839921954,4,17.73333
1775250644887195409,5,17.751821
1775250644913217739,3,17.767088
1775250644959070866,4,17.770873
1775250645008909543,4,17.800015
1775250645057328352,7,17.817557
1775250645098236781,3,17.839585
1775250645144544686,5,17.848743
1775250645191144226,4,17.857751
1775250645233039126,4,17.86284
1775250645286795176,4,17.878029
1775250645330765179,6,17.886091
1775250645364360674,4,17.905567
1775250645424025592,3,17.913516
1775250645465827795,9,17.9205
1775250645519206154,4,17.951459
1775250645552342151,8,17.964737
1775250645598546865,3,17.986696
1775250645642503135,5,17.999988
1775250645689649458,5,18.01618
1775250645735756175,4,18.054463
1775250645775044500,4,18.069831
1775250645814270051,5,18.079435
1775250645856922093,4,18.09207
1775250645895530213,4,18.100682
1775250645936939403,5,18.107609
1775250645953236085,4,18.112778
1775250645991781460,22,18.120435
1775250646049110661,4,18.216358
1775250646091895234,7,18.241071
1775250646132300122,5,18.279213
1775250646179197134,3,18.292785
1775250646230217266,4,18.304795
1775250646273310205,5,18.323218
1775250646314200862,4,18.324902
1775250646357360447,3,18.345604
1775250646401862312,4,18.358427
1775250646442685344,4,18.386777
1775250646497214615,5,18.392591
1775250646538897948,6,18.406749
1775250646580227761,5,18.416507
1775250646622755503,4,18.451537
1775250646666763178,2,18.467003
1775250646703846142,4,18.470593
1775250646750162936,4,18.489206
1775250646785911790,4,18.49316
1775250646834236060,4,18.512322
1775250646882716982,5,18.519428
1775250646924248933,5,18.545133
1775250646974017231,4,18.560129
1775250647015825664,6,18.576609
1775250647057191731,7,18.592775
1775250647108374857,4,18.614153
1775250647155792841,5,18.631187
1775250647170393964,4,18.643238
1775250647216699207,31,18.655113
1775250647292720548,16,18.724301
1775250647340020733,6,18.763567
1775250647377930525,6,18.778015
1775250647419389539,4,18.798745
1775250647467918606,7,18.809068
1775250647510302437,5,18.833957
1775250647556216798,4,18.883201
1775250647598536593,4,18.917875
1775250647648827765,9,18.972732
1775250647689654377,6,19.007564
1775250647735386843,2,19.056374
1775250647785714398,6,19.074048
1775250647820917537,5,19.142576
1775250647855507576,3,19.196874
1775250647902999647,5,19.222745
1775250647951598889,4,19.288026
1775250647994686668,5,19.325656
1775250648042671490,4,19.362317
1775250648090001198,4,19.409819
1775250648141740919,5,19.462808
1775250648182658729,5,19.507942
1775250648224620884,4,19.549637
1775250648277042681,6,19.587456
1775250648316941427,5,19.640443
1775250648359020223,5,19.682981
1775250648400540902,4,19.732991
1775250648450315321,3,19.768658
1775250648483628075,9,19.792617
1775250648542793097,3,19.867327
1775250648598358863,5,19.900277
1775250648647989020,4,19.943704
1775250648690983832,6,20.000886
1775250648726210193,4,20.066508
1775250648773509128,4,20.09802
1775250648829365938,6,20.134693
1775250648869352321,6,20.18753
1775250648901388259,4,20.247739
1775250648955082251,4,20.295324
1775250648995197184,4,20.32883
1775250649047477650,4,20.365513
1775250649092562053,5,20.408776
1775250649130268758,3,20.45336
1775250649178634212,4,20.484767
1775250649235957572,6,20.537083
1775250649292185613,4,20.601577
1775250649327149003,6,20.648034
1775250649380421960,4,20.700876
1775250649429766704,5,20.73724
1775250649473141476,5,20.78887
1775250649522512812,4,20.83898
1775250649571618106,5,20.881776
1775250649621201199,5,20.933711
1775250649669154889,5,20.987247
1775250649722329437,4,21.035626
1775250649773491661,7,21.083278
1775250649825740914,5,21.132277
1775250649873000536,3,21.186016
1775250649925341816,8,21.210209
1775250649968075686,6,21.288039
1775250650003587000,5,21.336357
1775250650050769646,4,21.390663
1775250650099848588,4,21.429543
1775250650150569915,7,21.442693
1775250650191980695,4,21.592613
1775250650232859782,5,21.592626
1775250650268507148,5,21.592642
1775250650309612163,5,21.634796
1775250650358426023,5,21.676579
1775250650401615430,5,21.720831
1775250650437358333,4,21.769292
1775250650484568831,3,21.814647
1775250650528002658,3,21.848439
1775250650576964690,6,21.87176
1775250650615706301,7,21.936787
1775250650663823053,3,21.985473
1775250650685296062,6,22.017126
1775250650741922055,28,22.071872
1775250650820373076,22,22.187628
1775250650870385365,9,22.262719
1775250650911795225,7,22.2792
1775250650966115159,5,22.301521
1775250651007719595,5,22.329081
1775250651053502115,4,22.382094
1775250651106885342,6,22.426908
1775250651153977090,4,22.471687
1775250651213012242,7,22.518653
1775250651262924442,4,22.571663
1775250651300546951,5,22.617139
1775250651343921313,4,22.674882
1775250651390610378,5,22.713709
1775250651438450598,4,22.764859
1775250651483333214,5,22.797195
1775250651524934390,6,22.842832
1775250651573651882,4,22.902541
1775250651622751366,5,22.934306
1775250651663569597,4,22.993644
1775250651714150433,5,23.036963
1775250651768917103,5,23.080014
1775250651802034721,5,23.123019
1775250651836746839,4,23.172684
1775250651886030768,4,23.21575
1775250651921708486,5,23.24584
1775250651955024850,4,23.293515
1775250651996522477,5,23.334328
1775250652050835130,4,23.372898
1775250652083833498,5,23.413473
1775250652122521154,32,23.460778
1775250652195694650,3,23.571511
1775250652237369932,11,23.578407
1775250652285804651,4,23.616516
1775250652326618862,5,23.646204
1775250652381120851,5,23.692478
1775250652426966876,6,23.734633
1775250652467875065,5,23.790542
1775250652489236894,4,23.839883
1775250652535480143,4,23.888479
1775250652591455172,5,23.911897
1775250652631759552,7,23.951015
1775250652673145950,3,24.004669
1775250652712388912,6,24.031311
1775250652748623956,4,24.083969
1775250652805459377,5,24.120629
1775250652847601037,5,24.164109
1775250652902138459,5,24.214374
1775250652954470428,5,24.259941
1775250652994890527,5,24.306198
1775250653036057307,5,24.360212
1775250653071016506,4,24.404874
1775250653127720836,5,24.443543
1775250653155650126,5,24.490259
1775250653186992367,4,24.544088
1775250653231529525,2,24.573312
1775250653275736816,5,24.584701
1775250653324939058,5,24.644926
1775250653380380664,6,24.684136
1775250653432965344,5,24.732359
1775250653481784935,5,24.784343
1775250653530658390,5,24.851144
1775250653564477975,5,24.896158
1775250653611473235,4,24.944255
1775250653653453222,5,24.977194
1775250653689625861,5,25.020738
1775250653746673089,4,25.068121
1775250653794767880,7,25.108824
1775250653844298599,6,25.154979
1775250653885227670,5,25.204989
1775250653926651291,4,25.252998
1775250653970728441,5,25.302003
1775250654016177954,4,25.347567
1775250654050054464,6,25.369202
1775250654105212237,4,25.434557
1775250654148503892,5,25.467563
1775250654203777674,5,25.52812
1775250654260957463,4,25.572586
1775250654296771212,6,25.61604
1775250654331209869,4,25.669039
1775250654366678799,4,25.710488
1775250654422116105,5,25.733596
1775250654463515345,6,25.779249
1775250654515308200,5,25.831006
1775250654571453714,5,25.876641
1775250654619238439,6,25.92521
1775250654673643130,5,25.979072
1775250654715264937,3,26.029841
1775250654755306975,6,26.054954
1775250654802375191,4,26.127034
1775250654848547343,4,26.167262
1775250654889555240,5,26.204832
1775250654941396020,5,26.259212
1775250654983443823,5,26.30184
1775250655039671083,4,26.346157
1775250655074267623,4,26.386211
1775250655124128929,3,26.447577
1775250655171427814,5,26.479068
1775250655223197908,5,26.534944
1775250655269632252,5,26.587281
1775250655311413912,5,26.629529
1775250655352830713,4,26.688693
1775250655388217167,4,26.732682
1775250655429711995,5,26.757781
1775250655466759646,5,26.795749
1775250655516986582,4,26.849082
1775250655561491397,6,26.876804
1775250655604258429,6,26.925009
1775250655651533442,5,26.973379
1775250655686766134,5,27.016594
1775250655728019481,4,27.06667
1775250655773526179,5,27.099132
1775250655808303603,6,27.137273
1775250655844655217,3,27.186005
1775250655882728082,5,27.212732
1775250655935980248,4,27.260219
1775250655979301336,5,27.29436
1775250656024123537,5,27.346029
1775250656070772458,4,27.39748
1775250656111961390,6,27.424426
1775250656162496442,4,27.486202
1775250656208910985,5,27.523821
1775250656263676675,5,27.571553
1775250656317617297,7,27.628151
1775250656363104883,6,27.675473
1775250656401382965,5,27.725585
1775250656443547748,4,27.778701
1775250656492101577,7,27.812452
1775250656545375804,4,27.867543
1775250656584271597,6,27.90241
1775250656640492277,5,27.954103
1775250656677797809,5,28.014622
1775250656734500869,3,28.048948
1775250656784095163,6,28.069529
1775250656836464696,7,28.132444
1775250656891137519,5,28.189619
1775250656938246538,6,28.247479
1775250656986837760,5,28.300333
1775250657033446889,5,28.346473
1775250657085337882,5,28.395779
1775250657135643645,5,28.439546
1775250657187417199,6,28.487452
1775250657250862664,6,28.552204
