backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
momentlarge,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,18.721046819919493,1461.95456,0.5258240000000569,121508.7578125,2584.105472,43963.565,178.7036638957698,43.020188097561004,10.464926829268292
momentbase,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.40729411055402,455.474688,0.3947519999999827,36993.375,1308.35456,14046.098,55.11203728652582,36.44050107317071,3.470170731707317
momentsmall,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,21.459820072825362,151.835648,0.2636800000000221,10205.5322265625,625.839616,3537.737,20.11549435592279,23.026126048780498,0.9365853658536586
chronostiny,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.45610064994998,16.789504,0.13260799999999762,5251.13037109375,1399.789056,1372.02,16.321798882833342,52.18915902439025,0.9286585365853658
chronosmini,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.597365030428257,40.918016,0.1981439999999992,11846.705078125,2751.832064,2828.92,24.409719513683783,95.38709853658534,1.2842926829268293
chronossmall,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.639511480564025,92.30848,0.2636799999999937,18754.607421875,2841.2416,4639.844,33.56564768349252,95.32308604878051,1.6426585365853659
chronosbase,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.027760017208937,420.18304,0.3947519999999827,46336.5390625,4530.082304,14023.37,87.54608954452887,138.34744507317083,4.865243902439024
chronoslarge,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,17.526721303055925,1417.926656,0.5258239999998295,114570.21875,6894.023168,39255.167,245.85263954720847,182.14902009756088,14.136073170731708
papageis,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,61.75464257961366,23.242752,0.2636800000000008,3618.532470703125,641.048576,537.185,13.308205848786889,46.08048702439025,0.5507317073170732
papageip,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,66.6251217911883,20.068352,0.2636800000000008,3509.5234375,637.874176,514.329,11.79693418595849,46.07990009756098,0.2729024390243902
papageissvri,mlp,,,PPG-data,NVIDIA A16,sysbp,mae,49.893171543028295,20.068352,0.2636800000000008,3498.4150390625,637.874176,510.231,11.763668979086527,46.07990009756098,0.26721951219512197
momentlarge,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,7.9662974287823936,1461.95456,0.5258240000000569,121535.078125,2584.105472,43932.859,178.8281990609518,43.020188097561004,10.441658536585367
momentbase,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,8.457862295755525,455.474688,0.3947519999999827,36985.92578125,1308.35456,14016.119,55.03843363319955,36.44050107317071,3.592487804878049
momentsmall,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,8.143273888564691,151.835648,0.2636800000000221,10207.4169921875,625.839616,3554.259,20.03502227038872,23.026126048780498,0.6944146341463414
chronostiny,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,7.959552671851181,16.789504,0.13260799999999762,5256.98681640625,1399.789056,1360.52,16.327729643844975,52.18915902439025,0.845780487804878
chronosmini,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,8.051317168445122,40.918016,0.1981439999999992,11815.8984375,2751.832064,2817.282,24.28041709341654,95.38709853658534,1.2876097560975608
chronossmall,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,8.028948900176257,92.30848,0.2636799999999937,18787.30078125,2841.2416,4657.796,34.16171888025796,95.32308604878051,1.699219512195122
chronosbase,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,7.733091028725228,420.18304,0.3947519999999827,46323.2109375,4530.082304,14013.893,88.22570726348133,138.34744507317083,4.984243902439024
chronoslarge,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,7.771106626929306,1417.926656,0.5258239999998295,114613.578125,6894.023168,39435.847,246.41914107159872,182.14902009756088,14.505243902439025
papageis,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,26.460788261599657,23.242752,0.2636800000000008,3607.511962890625,641.048576,531.233,13.44876523134185,46.08048702439025,0.4783170731707317
papageip,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,25.248287387010528,20.068352,0.2636800000000008,3518.488525390625,637.874176,515.321,11.749839550111352,46.07990009756098,0.263780487804878
papageissvri,mlp,,,PPG-data,NVIDIA A16,heartrate,mae,21.919190383538968,20.068352,0.2636800000000008,3501.0078125,637.874176,519.284,11.593017927030237,46.07990009756098,0.4814146341463415
momentlarge,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.9315555555555556,1461.95456,0.5278720000001158,70195.5078125,1600.961536,23042.562,28.54810323799981,13.77410286933332,2.2258633333333333
momentsmall,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.9257777777777778,151.835648,0.26572799999999575,8231.6826171875,228.714496,1935.899,5.162432058016459,11.250966869333325,0.28994177777777774
momentbase,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.9282222222222222,455.474688,0.3967999999999847,22965.556640625,579.252736,6552.974,9.698328122668796,12.659990869333342,0.9333164444444444
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.13465599999999966,10485.720703125,489.074176,2098.356,4.080530406528049,25.902870869333334,0.1337157777777778
chronosmini,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.8597777777777778,40.918016,0.20019200000000126,16343.427734375,957.543936,3748.356,7.913094025823805,38.484246869333326,0.5613957777777777
chronossmall,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.8577777777777778,92.30848,0.26572799999999575,30665.904296875,1021.738496,6716.178,11.005788711971707,37.993750869333326,0.8598577777777777
chronosbase,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.8782222222222222,420.18304,0.3967999999999847,68106.65625,1801.910784,19580.748,29.452942444695367,52.20175086933335,2.103384888888889
chronoslarge,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.9028888888888889,1417.926656,0.5278719999998884,181788.40625,3256.410624,55428.477,86.04637593756782,68.49459905422214,5.6306313333333335
papageis,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.8804444444444445,23.242752,0.2657279999999993,10558.6494140625,142.904832,1140.961,6.819613992902967,15.158572032000002,0.3008242222222222
papageip,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.7542222222222222,20.068352,0.2657279999999993,9926.3203125,139.730432,1063.538,6.07094784005483,15.158570097777776,0.27345444444444444
papageissvri,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.8911111111111111,20.068352,0.2657279999999993,9986.001953125,139.730432,1066.414,5.98884370136261,15.158570097777776,0.2768217777777778
momentlarge,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.9349525404801786,1461.95456,0.5304320000000189,228972.171875,1730.420736,85615.513,44.10404503405394,17.730267122278065,2.7869190396426577
momentsmall,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.8933556672250139,151.835648,0.2682880000000125,21188.576171875,281.499648,6246.067,5.727209047656163,12.823259122278074,0.3500265214963707
momentbase,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.9126186487995533,455.474688,0.3993600000000015,69189.1953125,678.276608,22802.314,14.353905919009517,15.574235122278026,0.8615502512562814
chronostiny,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.7456728084868789,16.789504,0.13721599999999867,18384.494140625,489.082368,3785.804,4.143490254180116,25.902811122278056,0.1598718592964824
chronosmini,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.7783361250697934,40.918016,0.2027519999999967,28894.2421875,957.552128,6963.096,7.931825935075165,38.48418712227806,0.5318241206030151
chronossmall,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.7833612506979342,92.30848,0.2682879999999983,43248.90234375,1021.746688,11301.626,11.139618385044441,37.99369112227804,0.8677241764377442
chronosbase,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.7878280290340591,420.18304,0.3993600000000015,118297.9609375,1801.918976,35405.948,29.490020161431172,52.20169112227802,2.120741485203797
chronoslarge,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.8137911781127861,1417.926656,0.5304320000000189,295982.3125,3256.418816,98516.575,86.24588232716657,68.49453525404806,5.673639028475712
papageis,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.903964265773311,23.242752,0.26828800000000186,18497.0625,204.71808,2180.656,6.771127882648087,17.11883677945282,0.29394276940256836
papageip,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.69821328866555,20.068352,0.2682879999999983,17839.7890625,201.54368,2115.67,6.070492422960112,17.118834063651594,0.2898439419318816
papageissvri,mlp,,,UWaveGestureLibraryAll,NVIDIA A16,gestureclass,accuracy,0.9209938581797878,20.068352,0.2682879999999983,17819.8984375,201.54368,2099.06,6.0455278047032355,17.118834063651594,0.28770463428252374
chronosbase,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.7172047323731197,420.18304,302.580736,22332.98046875,1948.440576,7019.446,31.295222810494852,53.77796741093334,2.2498043882484193
chronossmall,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.8261823396262122,92.30848,201.720832,10426.38671875,1117.970432,2740.901,11.940110880808122,39.37138528821123,0.923588694682038
chronosmini,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.5750964892363651,40.918016,151.29088000000002,7396.27197265625,814.430208,1819.544,8.49767276441887,39.27278844477502,0.668422089996281
chronostiny,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.5781709630486268,16.789504,100.860928,5196.55810546875,538.151936,1095.892,4.539667807267296,26.428854122722214,0.16461286723689106
chronoslarge,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.5492746350833501,1417.926656,403.4406399999998,56516.73046875,3452.187648,18439.391,88.15264158011281,71.8352599538864,5.834271848270732
momentlarge,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.22808222182845408,1461.95456,50.332672,29105.12890625,1704.462336,8522.223,28.88267678884646,14.035479800669464,2.2707147638527334
momentbase,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.23292693849819165,455.474688,37.74975999999998,11648.0849609375,663.6416,2941.82,9.879516878195437,12.855856172554866,0.9550673112681294
momentsmall,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.21938321473704445,151.835648,25.166848000000016,6052.05078125,295.77728,1026.5,5.122456014355836,11.381320544440285,0.3457277798438081
papageis,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.9405164384169654,23.242752,0.3942399999999999,11897.1357421875,86.724096,1190.365,7.128398742938228,17.479652772034214,0.3363819263666791
papageip,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,1.4096899482017615,20.068352,0.3942399999999999,11285.0263671875,83.549696,1134.85,6.010229205588685,17.479649344737823,0.2745582000743771
papageissvri,mlp,,,ETTh1,NVIDIA A16,etth1fore,mae,0.50544540269389,20.068352,0.3942399999999999,11328.3193359375,83.549696,1144.229,5.91560163387981,17.479649344737823,0.26711342506507996
momentlarge,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.127586736911681,1461.95456,0.5258240000000569,121734.78125,2613.989888,43894.734,168.74512500297732,41.998723121951116,10.406292682926829
momentbase,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.489695479230184,455.474688,0.3947519999999827,36996.0234375,1311.500288,14042.174,53.999227477283014,35.41903609756099,2.8492439024390244
momentsmall,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.011062063821932,151.835648,0.2636800000000221,10243.2802734375,625.839616,3517.97,26.457441841683735,22.004661073170695,0.9881463414634146
chronostiny,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,9.705553566537253,16.789504,0.13260799999999762,6012.97802734375,1399.789056,1384.4,18.522212121544815,51.17076604878049,0.15882926829268293
chronosmini,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.347290225145294,40.918016,0.1981439999999992,11863.0673828125,2751.832064,2823.319,23.97907405946313,94.3687055609756,1.1569756097560975
chronossmall,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.41273647401391,92.30848,0.2636799999999937,18751.787109375,2841.2416,4639.92,33.87020855415158,94.30469307317071,1.5989024390243904
chronosbase,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.019732219416921,420.18304,0.3947519999999827,46370.2734375,4530.082304,14041.017,88.20800799858279,137.32905209756103,4.502975609756097
chronoslarge,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,10.215683541646818,1417.926656,0.5258239999998295,115069.765625,6894.023168,39407.608,244.76418955733138,181.1306271219512,13.807048780487804
papageis,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,29.1806981156512,23.242752,0.2636800000000008,3916.729248046875,641.048576,551.577,35.0712748271663,45.27719648780487,0.8957073170731708
papageip,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,32.6020480365288,20.068352,0.2636800000000008,3485.1123046875,637.874176,503.384,26.450235320300592,45.27668448780487,0.7375609756097561
papageissvri,mlp,,,PPG-data,NVIDIA A2,diasbp,mae,24.762004387087938,20.068352,0.2636800000000008,3500.937255859375,637.874176,508.916,27.901970049230062,45.27668448780487,0.7361219512195122
momentlarge,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,18.721048494664632,1461.95456,0.5258240000000569,121508.7578125,2584.105472,43963.565,169.62184626881668,41.998723121951116,10.772170731707318
