backbone,decoder,encoder,adapter,dataset_name,device,task_name,inference_batch_size,metric,result,backbone memory(MB),backbone load time(ms),decoder memory(MB),decoder load time(ms),encoder memory(MB),encoder load time(ms),adapter memory(MB),adapter load time(ms),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ),avg_gpu_usage_percent
momentlarge,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,9.801393508911133,1461.95456,3809.1495559999657,0.525824,816.8995539999742,,,,,402091.03125,1883.792384,23481.195,54.382480243902606,12.809166048780488,2.660780487804878,50.1219512195122
momentbase,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,9.848342895507812,455.474688,4504.612253999994,0.394752,12.903394999966622,,,,,116999.84375,769.964544,6829.205,15.196899585389916,11.432910048780489,1.0780243902439024,26.0
momentsmall,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,9.689478874206543,151.835648,2728.588372000104,0.26368,604.2663090001952,,,,,30703.16015625,330.665984,1787.406,13.537828731719722,5.239758048780488,0.6912926829268292,9.146341463414634
chronostiny,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,9.575470924377441,16.789504,1573.3914710003774,0.132608,567.8737499997624,,,,,41035.4453125,1399.793664,2377.897,14.71197439027159,42.85688507317073,0.6502439024390244,12.317073170731707
chronosmini,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,10.438223838806152,40.918016,2556.182727000305,0.198144,535.5133460002435,,,,,86293.2421875,2752.623104,4986.428,11.107472317046525,86.05432507317073,0.268609756097561,14.512195121951219
chronossmall,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,9.729126930236816,92.30848,3962.449462999757,0.26368,521.8686990001515,,,,,141559.890625,2841.246208,8195.98,12.771956731706647,85.98981307317074,0.6644878048780488,20.0
chronosbase,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,10.424577713012695,420.18304,11616.323217000172,0.394752,525.7156769998801,,,,,483105.96875,4530.873344,27975.291,26.054454756099513,129.01317307317075,1.9221463414634148,57.926829268292686
chronoslarge,mlp,,,PPG-data,NVIDIA L4,diasbp,1,mae,10.434615135192871,1417.926656,33061.94337499983,0.525824,587.5490429998536,,,,,1436811.625,6894.027776,83307.371,69.6090139511775,172.81374907317073,4.945975609756098,83.26829268292683
momentlarge,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,15.64448070526123,1461.95456,3827.2138799998174,0.525824,480.9014480001679,,,,,402612.5,1883.792384,23514.383,23.683443268310373,12.809166048780488,1.7989756097560976,56.8780487804878
momentbase,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,15.2932767868042,455.474688,1299.7016009999243,0.394752,12.091837999832933,,,,,117046.40625,769.964544,6840.999,15.07209590249104,11.432910048780489,0.898829268292683,28.390243902439025
momentsmall,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,15.823963165283203,151.835648,506.56790499988347,0.26368,492.6895280000281,,,,,30700.3359375,330.665984,1787.772,13.65006117075387,5.239758048780488,0.6925365853658536,10.560975609756097
chronostiny,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,16.853290557861328,16.789504,374.9326170000131,0.132608,837.6336179999271,,,,,41009.16015625,1399.793664,2378.617,11.45575553653366,42.85688507317073,0.31241463414634146,9.658536585365853
chronosmini,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,17.157875061035156,40.918016,387.39030699980503,0.198144,517.3329060003198,,,,,86076.4453125,2752.623104,4977.225,11.379087829271423,86.05432507317073,0.4678292682926829,21.463414634146343
chronossmall,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,16.12855339050293,92.30848,425.05672900006175,0.26368,759.101094000016,,,,,141518.203125,2841.246208,8187.617,12.835852878042049,85.98981307317074,0.649609756097561,31.073170731707318
