backbone,decoder,encoder,adapter,dataset_name,device,task_name,inference_batch_size,metric,result,backbone memory(MB),backbone load time(ms),decoder memory(MB),decoder load time(ms),encoder memory(MB),encoder load time(ms),adapter memory(MB),adapter load time(ms),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ),avg_gpu_usage_percent
chronosbase,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,17.812801361083984,420.18304,624.6954180001012,0.394752,530.8637909997742,,,,,482965.21875,4530.873344,27961.423,26.08028885363571,129.01317307317075,1.7659268292682928,55.53658536585366
chronoslarge,mlp,,,PPG-data,NVIDIA L4,sysbp,1,mae,17.546506881713867,1417.926656,1207.1503520000988,0.525824,677.2736230000191,,,,,1436526.0,6894.027776,83327.095,68.34699395123118,172.81374907317073,5.162219512195121,81.0
momentlarge,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,4.655378341674805,1461.95456,3809.444288999657,0.525824,579.9957629997152,,,,,402717.46875,1883.792384,23518.392,24.072810926798677,12.809166048780488,1.8864634146341464,48.24390243902439
momentbase,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,4.837716579437256,455.474688,2078.2468469997184,0.394752,10.389243000190618,,,,,117064.5078125,769.964544,6834.899,14.863246024405514,11.432910048780489,1.0470243902439025,28.853658536585368
momentsmall,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,5.12626838684082,151.835648,509.48898299975554,0.26368,449.15881599990826,,,,,30696.25,330.665984,1786.543,13.875441170745123,5.239758048780488,0.6225365853658537,10.926829268292684
chronostiny,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,6.733142375946045,16.789504,419.01895799992417,0.132608,507.1084549999796,,,,,41017.98046875,1399.793664,2378.165,11.425800317039563,42.85688507317073,0.5055365853658537,11.75609756097561
chronosmini,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,7.670063495635986,40.918016,397.10962800018024,0.198144,520.3837869999006,,,,,86067.7890625,2752.623104,4977.988,11.346421463436055,86.05432507317073,0.4693170731707317,14.170731707317072
chronossmall,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,6.678096294403076,92.30848,437.1279209999557,0.26368,607.2705850001512,,,,,141498.5625,2841.246208,8193.011,12.985339268253462,85.98981307317074,0.7766829268292682,20.585365853658537
chronosbase,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,7.255880832672119,420.18304,621.9158140002037,0.394752,748.7905020002472,,,,,482815.28125,4530.873344,27951.828,26.08914085363367,129.01317307317075,1.701439024390244,53.78048780487805
chronoslarge,mlp,,,PPG-data,NVIDIA L4,heartrate,1,mae,7.077422142028809,1417.926656,2073.844157000167,0.525824,571.749619000002,,,,,1436184.375,6894.027776,83258.639,68.25142563414974,172.81374907317073,4.930512195121952,81.1219512195122
momentlarge,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.9315555555555556,1461.95456,4018.3569360001457,0.527872,668.8079820000894,,,,,70195.5078125,1600.961536,23042.562,20.019559529782583,4.206949489777777,1.3932406666666666,38.69311111111111
momentsmall,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.9257777777777778,151.835648,515.2168929998879,0.265728,725.2088449999974,,,,,8231.6826171875,228.714496,1935.899,7.881922402890975,1.683813489777778,0.49066133333333334,12.660666666666666
momentbase,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.9282222222222222,455.474688,1302.814003000094,0.3968,13.240768000287062,,,,,22965.556640625,579.252736,6552.974,10.787198585557942,3.0928374897777777,0.7887055555555555,21.936666666666667
chronostiny,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.8242222222222222,16.789504,357.05653099967094,0.134656,599.2653019998215,,,,,10485.720703125,489.074176,2098.356,4.68074213577913,16.336741262222223,0.366476,8.960888888888888
chronosmini,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.8597777777777778,40.918016,376.59305299985135,0.200192,767.5000480003291,,,,,16343.427734375,957.543936,3748.356,4.749865435113861,28.922213262222222,0.3925722222222222,11.919555555555556
chronossmall,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.8577777777777778,92.30848,397.73467500026527,0.265728,665.5836009999803,,,,,30665.904296875,1021.738496,6716.178,6.331576532443452,28.43171726222222,0.3870191111111111,15.897777777777778
chronosbase,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.8782222222222222,420.18304,934.1625110000678,0.3968,609.3218229998456,,,,,68106.65625,1801.910784,19580.748,11.045867932897636,42.63971726222222,1.020439111111111,31.880222222222223
chronoslarge,mlp,,,ecg5000,NVIDIA L4,ecgclass,1,accuracy,0.9031111111111111,1417.926656,1160.9593289999793,0.527872,770.1345909999873,,,,,181788.40625,3256.410624,55428.477,21.354006587337707,58.93256544711111,1.9333977777777778,62.908
momentlarge,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.8364042434394193,1461.95456,3797.1025159999954,0.529408,898.4518279999065,,,,,980174.875,1615.122432,57536.379,19.843244280286612,4.207434756002233,1.4640058626465662,38.72696817420435
momentsmall,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.7487437185929648,151.835648,515.4768049997074,0.267264,601.6507059994183,,,,,76457.5,224.525312,4488.397,7.81317515046038,1.6842987560022333,0.472107202680067,12.806253489670576
momentbase,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.7632607481853713,455.474688,1301.7079330002161,0.398336,11.075127999902179,,,,,285146.46875,572.59776,16767.144,10.809628023178886,3.0933227560022334,0.7996166945840313,22.027638190954775
chronostiny,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.739251814628699,16.789504,380.78374799988524,0.136192,635.0212950001151,,,,,104211.1328125,489.083392,6093.385,4.666861352328209,16.33722647012842,0.3702828029034059,8.940536013400335
chronosmini,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.7786152987158013,40.918016,427.98492000019905,0.201728,754.929761999847,,,,,212306.90625,957.553152,12435.032,4.726991372424131,28.92269847012842,0.39636180904522617,11.852875488553881
chronossmall,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.77749860413177,92.30848,412.6558650004881,0.267264,588.2072989998051,,,,,364072.84375,1021.747712,20855.642,6.308782578178814,28.43220247012842,0.3926853713009492,16.210217755443885
chronosbase,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.7872696817420436,420.18304,602.901010000096,0.398336,652.4778629991488,,,,,1207414.375,1803.623936,70823.108,11.05237187436225,42.640202470128415,1.0209419318816304,32.01172529313233
chronoslarge,mlp,,,UWaveGestureLibraryAll,NVIDIA L4,gestureclass,1,accuracy,0.8165829145728644,1417.926656,1170.1182130000234,0.529408,888.5621270001138,,,,,3558749.5,3256.41984,207235.399,21.324506926307848,58.93304660189838,1.91514126186488,61.98771635957566
chronosbase,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.7172177185879168,420.18304,648.9133240002047,302.580736,9006.71242899989,,,,,22332.98046875,1948.440576,7019.446,12.114947510215494,42.64099234510971,1.247200074377092,32.8527333581257
chronossmall,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.8261604303913807,92.30848,418.4045470001365,201.720832,6214.613213000121,,,,,10426.38671875,1117.970432,2740.901,7.008145193759715,28.432992345109707,0.525384529564894,20.869468203793232
chronosmini,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.5750881363833357,40.918016,360.87136500009365,151.29088,4975.159945999621,,,,,7396.27197265625,814.430208,1819.544,5.251099514690538,28.923488345109703,0.2394804760133879,16.866121234659726
chronostiny,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.5781761479295083,16.789504,499.95587000012165,100.860928,3715.2356300002793,,,,,5196.55810546875,538.151936,1095.892,4.914009122723436,16.338016345109708,0.39182893268873187,11.96169579769431
chronoslarge,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.5492643009549688,1417.926656,1143.4749729996838,403.44064,11595.041616000344,,,,,56516.73046875,3452.187648,18439.391,22.511420937527497,60.173168243956866,1.807347341018966,63.454815916697655
momentlarge,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.2280822220213107,1461.95456,3828.7202379997325,50.332672,1862.6938710003742,,,,,29105.12890625,1704.462336,8522.223,19.71674734511694,4.206688535515061,1.4943384157679434,39.74228337671997
momentbase,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.23292693894243724,455.474688,1322.8979370005618,37.74976,302.61591199996474,,,,,11648.0849609375,663.6416,2941.82,10.961924736330632,3.0925765355150614,0.8017028635180364,22.377091855708443
momentsmall,mlp,,,ETTh1,NVIDIA L4,etth1fore,1,mae,0.21938321457980367,151.835648,507.9282090000561,25.166848,1264.8521019991676,,,,,6052.05078125,295.77728,1026.5,7.913905574938065,1.6835525355150613,0.47729341762737076,12.301970992934177
chronosbase,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.29916290098677206,420.18304,650.8704289999514,302.580736,9677.75818300015,,,,,110914.90625,1950.144512,33213.971,12.078038905972956,42.63864731658292,1.2599965210668729,32.98714727483571
chronossmall,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.35779539264763405,92.30848,409.6313909994933,201.720832,4807.650080999338,,,,,53929.39453125,1117.970432,13168.313,6.938533181679465,28.430647316582913,0.4643008310784693,20.84219172787012
chronosmini,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.3054842066402158,40.918016,370.90757800069696,151.29088,4693.240985000557,,,,,40462.05859375,814.954496,9015.544,5.162252729321361,28.921143316582913,0.223008407421724,17.016331658291456
chronostiny,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.3161391126214372,16.789504,392.2303750005085,100.860928,3404.252581000037,,,,,38594.6328125,538.151936,6389.233,4.901399893405117,16.335671316582914,0.3903837456513336,11.978739853111712
chronoslarge,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.30192385097218405,1417.926656,1154.3290959998558,403.44064,10945.864444000108,,,,,267748.09375,3452.187648,85588.926,23.317776553442258,60.171379877850796,1.5358714727483571,66.08310784692694
momentlarge,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.027098102626897925,1461.95456,4069.4317959996624,50.332672,5315.711333000763,,,,,144111.328125,1705.510912,40275.144,20.37367611267983,4.2043433660610745,1.7152371472748358,38.394858909934285
momentbase,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.027118303838555662,455.474688,1671.116909000375,37.74976,284.51343000051565,,,,,64861.2265625,662.855168,14576.007,10.936247421432656,3.0902313660610745,0.8754067452647856,22.527251642829533
momentsmall,mlp,,,weather,NVIDIA L4,weatherfore,1,mae,0.02722849553761599,151.835648,505.11011500020686,25.166848,1349.391607999678,,,,,49214.859375,295.77728,5968.736,7.963838720140443,1.6812073660610747,0.5409793196752997,13.181097796675687
chronosbase,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,1.6803797628929324,420.18304,707.0929020001131,302.580736,9763.35212899994,,,,,14189.2001953125,1949.751296,4054.614,12.101445208902263,42.64424909803922,1.203389894419306,32.80618401206637
chronossmall,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,1.3684498445152933,92.30848,443.9312240001527,201.720832,4977.211129999887,,,,,7220.82080078125,1117.970432,1628.921,7.081024579196005,28.436249098039216,0.4540656108597285,20.546003016591253
chronosmini,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,1.4259909176458472,40.918016,403.5554359998059,151.29088,5423.7589880003725,,,,,5346.71826171875,814.954496,1134.673,5.2657243567194385,28.926745098039216,0.3087466063348416,16.721719457013574
chronostiny,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,1.5959156770768306,16.789504,357.64037699937035,100.860928,3581.2905390002925,,,,,5024.76123046875,538.151936,806.618,5.055438389883879,16.341273098039217,0.3795233785822021,11.939668174962293
chronoslarge,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,1.6307027752939274,1417.926656,1199.3526890000794,403.44064,10400.249116999476,,,,,34416.1328125,3452.187648,10614.88,22.61315519005866,60.17565190950226,1.7003521870286578,63.1764705882353
momentlarge,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,0.40023874582976887,1461.95456,3883.447186999547,50.332672,1587.0025060003172,,,,,18617.3125,1705.510912,4913.702,20.238788156850926,4.209945484162896,1.4697352941176471,39.406485671191554
momentbase,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,0.3981240479607682,455.474688,1336.1446139997497,37.74976,249.53301200002898,,,,,8472.662109375,662.855168,1804.456,11.129128447224545,3.095833484162896,0.8434796380090497,22.31447963800905
momentsmall,mlp,,,exchange,NVIDIA L4,exchangefore,1,mae,0.4087691296944933,151.835648,516.0467680007059,25.166848,1173.1516279996868,,,,,6441.25830078125,295.77728,736.569,8.070884585220835,1.686809484162896,0.5420052790346909,12.978129713423831
chronosbase,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.43347616346866297,420.18304,664.5189239998217,302.580736,8747.223860000304,,,,,69814.96875,1949.74208,19201.284,12.105130350755894,42.63950474176366,1.2251161964884594,32.92700729927007
chronossmall,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.4620197578729934,92.30848,424.1200710002886,201.720832,6906.420047000211,,,,,43078.09375,1117.961216,9006.712,6.940631103954328,28.431504741763664,0.48323752219372657,20.918327086210297
chronosmini,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.46095048638729325,40.918016,385.86177499928453,151.29088,4555.367385000864,,,,,35002.671875,814.94528,6580.638,5.160556935690541,28.92200074176366,0.26791280331426315,17.00138094298678
chronostiny,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.4889259740469969,16.789504,348.11645900026633,100.860928,3803.685150999627,,,,,34170.86328125,538.14272,4694.663,4.920741732492585,16.33652874176366,0.37500828565792066,11.97100019727757
chronoslarge,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.43230030058226654,1417.926656,1168.9212470000712,403.44064,18979.36589500023,,,,,158385.609375,3452.178432,46641.534,22.926655973571116,60.172033767607026,1.5803923850858157,64.53264943775892
momentlarge,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.43156918198578986,1461.95456,3840.383535000001,50.332672,1793.170416999601,,,,,106272.4609375,1706.025984,24722.072,20.093883084035454,4.205200842769777,1.4961824817518248,38.784572894061945
momentbase,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.4709700270528141,455.474688,2274.3749090004712,37.74976,270.4795589997957,,,,,62931.4296875,662.42816,10329.691,10.877895964880816,3.091088842769777,0.8366695600710199,22.657131584138885
momentsmall,mlp,,,ecl,NVIDIA L4,eclfore,1,mae,0.43689913602410396,151.835648,676.8578820001494,25.166848,1381.7508070005715,,,,,47507.90234375,295.243776,4812.763,8.036158574662291,1.682064842769777,0.5389315446833695,13.69540343262971
chronosbase,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.4104066763766275,420.18304,590.1453449996552,302.580736,9150.8691680001,,,,,90611.1640625,1949.737472,18925.512,12.110176626779017,42.64039248959904,1.204622249020199,32.909255351220985
chronossmall,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.47139921710366295,92.30848,768.0254019996937,201.720832,6421.783743999185,,,,,57298.3828125,1117.956608,10105.885,6.960463681634685,28.432392489599035,0.4845366294844739,20.845040699427194
chronosmini,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.44481540434993727,40.918016,388.427836000119,151.29088,4827.972356000828,,,,,39595.609375,814.940672,6990.577,5.2007517223275395,28.922888489599035,0.21018540850165812,16.88754899005125
chronostiny,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.4507111661552443,16.789504,1511.8216000009852,100.860928,3854.880050999782,,,,,41387.25,538.138112,5351.477,4.920736553512567,16.337416489599036,0.37335845643653903,11.954778414229725
chronoslarge,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.41367377996856813,1417.926656,1217.831116000525,403.44064,12734.404265000194,,,,,146966.671875,3452.173824,37449.365,22.81961042355806,60.172710782031956,1.6249713596623456,63.89237262586675
momentlarge,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.3760614480918916,1461.95456,3808.5325680003734,50.332672,2386.2434990005568,,,,,139989.984375,1704.448512,23357.12,19.999536773606906,4.206088643955382,1.4799966837503769,39.2086222490202
momentbase,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.3990596103240229,455.474688,1278.1530049996945,37.74976,234.78297800102155,,,,,82128.5,661.137408,9343.641,10.855352362051269,3.0919766439553817,0.8473512209828158,22.784142297256558
momentsmall,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,0.39547421103070673,151.835648,499.95861899878946,25.166848,1089.01053199952,,,,,63204.6171875,294.977024,5924.661,7.913791150144001,1.6829526439553812,0.46769701537533914,13.512511305396442
papageis,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,1.2046548622322917,23.242752,97.98101199885423,0.39424,684.8631930006377,,,,,130977.40625,72.787456,10808.453,10.172547290328938,5.592430287609286,0.45802110340669283,7.079891468194151
papageip,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,1.2074314498118275,20.068352,85.88118599982408,0.39424,679.1796060006163,,,,,124982.1953125,69.613056,10311.466,8.946432548373236,5.592427663551402,0.4261778715706964,7.153150437141996
papageissvri,mlp,,,traffic,NVIDIA L4,trafficfore,1,mae,1.0800980072241844,20.068352,85.28555300108565,0.39424,730.3179940008704,,,,,125468.765625,69.613056,10358.45,8.997619675295882,5.592427663551402,0.4098646367199277,7.174856798311727
