req_id,client_id,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,0,1e-06,317.0564,1775261141416626166,1775261141716834279
2368,1,1.6e-05,317.1787,1775261141416626166,1775261141716834279
4787,2,2.2e-05,317.1804,1775261141416626166,1775261141716834279
7218,3,2.6e-05,450.6736,1775261141736044632,1775261141851346807
9656,4,3e-05,450.7592,1775261141736044632,1775261141851346807
12131,5,3.4e-05,454.3531,1775261141736044632,1775261141851346807
14398,6,3.8e-05,454.3624,1775261141736044632,1775261141851346807
16829,7,4.2e-05,454.3674,1775261141736044632,1775261141851346807
19318,8,4.5e-05,454.3717,1775261141736044632,1775261141851346807
21769,9,4.9e-05,454.376,1775261141736044632,1775261141851346807
2369,1,0.004507,449.9254,1775261141736044632,1775261141851346807
2370,1,0.006798,447.6411,1775261141736044632,1775261141851346807
2371,1,0.008138,446.3091,1775261141736044632,1775261141851346807
4788,2,0.009393,445.0612,1775261141736044632,1775261141851346807
16830,7,0.015675,438.7856,1775261141736044632,1775261141851346807
7219,3,0.020041,434.427,1775261141736044632,1775261141851346807
4789,2,0.022363,432.111,1775261141736044632,1775261141851346807
21770,9,0.032698,421.7832,1775261141736044632,1775261141851346807
16831,7,0.032963,421.5276,1775261141736044632,1775261141851346807
9657,4,0.036269,418.2274,1775261141736044632,1775261141851346807
19319,8,0.037598,416.9044,1775261141736044632,1775261141851346807
2372,1,0.037612,416.8975,1775261141736044632,1775261141851346807
9658,4,0.040075,414.4413,1775261141736044632,1775261141851346807
7220,3,0.04139,413.1329,1775261141736044632,1775261141851346807
16832,7,0.044778,409.7519,1775261141736044632,1775261141851346807
19320,8,0.051128,403.4092,1775261141736044632,1775261141851346807
4790,2,0.052466,402.0786,1775261141736044632,1775261141851346807
1,0,0.060783,393.769,1775261141736044632,1775261141851346807
21771,9,0.065135,389.4234,1775261141736044632,1775261141851346807
12132,5,0.069463,385.1018,1775261141736044632,1775261141851346807
9659,4,0.069477,385.0939,1775261141736044632,1775261141851346807
14399,6,0.074945,379.6327,1775261141736044632,1775261141851346807
7221,3,0.075204,379.3807,1775261141736044632,1775261141851346807
2373,1,0.076522,378.0701,1775261141736044632,1775261141851346807
4791,2,0.078859,375.7403,1775261141736044632,1775261141851346807
16833,7,0.082208,372.3977,1775261141736044632,1775261141851346807
7222,3,0.084613,369.9994,1775261141736044632,1775261141851346807
9660,4,0.084805,371.6917,1775261141736044632,1775261141851346807
21772,9,0.08612,370.3907,1775261141736044632,1775261141851346807
2374,1,0.087387,369.1285,1775261141736044632,1775261141851346807
12133,5,0.093672,362.8466,1775261141736044632,1775261141851346807
4792,2,0.093685,362.8395,1775261141736044632,1775261141851346807
19321,8,0.093691,362.8366,1775261141736044632,1775261141851346807
4793,2,0.095297,361.2342,1775261141736044632,1775261141851346807
16834,7,0.097561,358.974,1775261141736044632,1775261141851346807
16835,7,0.097749,358.7892,1775261141736044632,1775261141851346807
21773,9,0.104046,352.4961,1775261141736044632,1775261141851346807
14400,6,0.10406,352.4857,1775261141736044632,1775261141851346807
19322,8,0.114524,342.026,1775261141736044632,1775261141851346807
4794,2,0.115105,341.449,1775261141736044632,1775261141851346807
7223,3,0.115119,341.4392,1775261141736044632,1775261141851346807
2,0,0.119515,337.0461,1775261141736044632,1775261141851346807
2375,1,0.120817,335.7484,1775261141736044632,1775261141851346807
7224,3,0.120829,335.7408,1775261141736044632,1775261141851346807
19323,8,0.120835,335.7384,1775261141736044632,1775261141851346807
9661,4,0.12334,333.2367,1775261141736044632,1775261141851346807
2376,1,0.12335,333.2303,1775261141736044632,1775261141851346807
12134,5,0.123357,333.2274,1775261141736044632,1775261141851346807
9662,4,0.12484,331.7473,1775261141736044632,1775261141851346807
7225,3,0.128131,328.4602,1775261141736044632,1775261141851346807
12135,5,0.128144,328.4509,1775261141736044632,1775261141851346807
7226,3,0.130625,325.9737,1775261141736044632,1775261141851346807
9663,4,0.134926,321.6755,1775261141736044632,1775261141851346807
7227,3,0.140214,316.391,1775261141736044632,1775261141851346807
14401,6,0.144536,312.0725,1775261141736044632,1775261141851346807
