task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,single_nyudepth,0.0,248.1561,239.6886,183.2962,0.0046,56.1022,1.8861,8.4674
nyudepth,single_nyudepth,0.2408,36.2852,27.8107,4.5699,0.0017,23.0814,4.5071,8.4745
nyudepth,single_nyudepth,0.4744,33.2656,27.5624,4.029,0.0017,23.3215,1.6632,5.7032
nyudepth,single_nyudepth,0.714,33.453,27.445,3.9242,0.0017,23.321,1.6165,6.008
nyudepth,single_nyudepth,0.7417,35.3301,27.814,4.1556,0.0031,23.4682,3.4189,7.516
nyudepth,single_nyudepth,0.7495,58.6519,28.9391,3.4496,0.0019,25.1645,25.2886,29.7129
nyudepth,single_nyudepth,0.8963,32.8557,27.5241,4.0079,0.0021,23.3133,1.3146,5.3316
nyudepth,single_nyudepth,1.0364,33.1073,27.6243,4.0111,0.0023,23.4043,1.4696,5.483
nyudepth,single_nyudepth,1.3489,32.9924,27.5678,4.0214,0.0024,23.3324,1.4102,5.4246
nyudepth,single_nyudepth,1.3567,54.2309,27.3715,3.4906,0.0017,23.7244,22.9566,26.8594
nyudepth,single_nyudepth,1.461,33.0298,27.7964,3.9951,0.0025,23.6068,1.2431,5.2334
nyudepth,single_nyudepth,1.4677,56.613,28.3323,3.5085,0.0014,24.6899,24.4374,28.2807
nyudepth,single_nyudepth,1.5774,32.8021,27.5698,4.0063,0.0023,23.3792,1.2264,5.2323
nyudepth,single_nyudepth,1.7505,32.9449,27.556,4.0334,0.0021,23.3225,1.3709,5.3889
nyudepth,single_nyudepth,1.7885,32.2144,27.3833,3.538,0.0019,23.6872,0.8595,4.8311
nyudepth,single_nyudepth,1.9119,33.6478,27.5331,4.0107,0.0025,23.3092,1.363,6.1146
nyudepth,single_nyudepth,1.9276,134.5737,109.9054,14.2001,0.0024,47.7447,15.4905,24.6683
nyudepth,single_nyudepth,1.9362,126.0116,109.9054,14.2001,0.0024,47.7447,6.9182,16.1062
nyudepth,single_nyudepth,1.9677,121.1126,27.8027,4.5771,0.0022,23.0702,88.9804,93.3098
nyudepth,single_nyudepth,2.0622,56.7148,28.3152,3.497,0.0015,24.6626,24.2198,28.3996
nyudepth,single_nyudepth,2.0999,49.6297,28.9064,3.4737,0.0017,25.2796,16.597,20.7233
nyudepth,single_nyudepth,2.2247,33.5093,27.6904,4.0047,0.002,23.4944,1.6787,5.8188
nyudepth,single_nyudepth,2.2469,40.8468,27.81,3.6014,0.0016,24.0716,8.935,13.0368
nyudepth,single_nyudepth,2.431,33.2823,27.5218,3.972,0.0022,23.3448,1.5678,5.7605
nyudepth,single_nyudepth,2.5534,33.2682,27.5232,4.0075,0.0022,23.3033,1.524,5.745
nyudepth,single_nyudepth,2.6188,33.1838,27.4086,3.778,0.0025,23.4466,1.5473,5.7752
nyudepth,single_nyudepth,2.6601,33.4413,28.0699,3.6138,0.0014,24.2899,1.1778,5.3714
nyudepth,single_nyudepth,2.7057,33.4196,28.1756,3.7117,0.0019,24.2886,1.1153,5.244
nyudepth,single_nyudepth,2.7133,82.8023,50.7315,3.9332,0.0015,23.3173,23.4764,32.0708
nyudepth,single_nyudepth,2.7309,65.2375,50.7315,3.9332,0.0015,23.3173,5.9035,14.506
nyudepth,single_nyudepth,2.8002,34.8358,28.7293,3.7386,0.002,24.7976,2.1157,6.1065
nyudepth,single_nyudepth,2.8391,33.5524,28.4714,3.5118,0.002,24.8008,1.0543,5.081
nyudepth,single_nyudepth,2.9649,33.1337,27.5724,3.9639,0.0021,23.4127,1.4734,5.5613
nyudepth,single_nyudepth,3.0361,32.8546,27.4278,3.8095,0.0024,23.4417,1.3301,5.4268
nyudepth,single_nyudepth,3.0598,39.2263,28.2836,3.5444,0.0016,24.5949,7.0062,10.9427
nyudepth,single_nyudepth,3.1061,33.5374,28.2314,3.517,0.0018,24.5521,1.1957,5.306
nyudepth,single_nyudepth,3.1697,33.6621,27.672,3.7974,0.0022,23.6907,1.2624,5.99
nyudepth,single_nyudepth,3.2045,33.381,27.4267,3.5404,0.0016,23.7278,1.8172,5.9543
nyudepth,single_nyudepth,3.2379,33.0827,28.0658,3.4933,0.0015,24.4177,0.911,5.017
nyudepth,single_nyudepth,3.3241,33.7789,27.7881,3.9741,0.0023,23.6068,1.4079,5.9908
nyudepth,single_nyudepth,3.3548,35.2204,27.5351,3.4423,0.0017,23.9374,3.511,7.6853
nyudepth,single_nyudepth,3.4872,33.3166,27.5265,4.0323,0.0021,23.2955,1.5335,5.7901
nyudepth,single_nyudepth,3.6268,33.2117,27.5405,3.9923,0.0021,23.3504,1.5981,5.6712
nyudepth,single_nyudepth,3.7352,32.8026,27.5143,3.9869,0.0021,23.3322,1.3499,5.2883
nyudepth,single_nyudepth,3.7421,55.7485,28.1465,3.5258,0.0014,24.1478,23.6659,27.602
nyudepth,single_nyudepth,3.8559,32.8829,27.6602,3.9455,0.0024,23.5189,1.2105,5.2227
nyudepth,single_nyudepth,3.991,32.8927,27.5441,4.0495,0.0022,23.2828,1.3475,5.3486
nyudepth,single_nyudepth,4.1031,32.8381,27.5014,4.0132,0.0021,23.2812,1.3599,5.3367
nyudepth,single_nyudepth,4.1318,35.5926,29.7449,5.5664,0.002,24.0258,1.9698,5.8476
nyudepth,single_nyudepth,4.163,37.1506,28.5403,3.5271,0.0013,24.8617,4.7882,8.6104
nyudepth,single_nyudepth,4.1815,49.109,28.7025,3.5362,0.0015,25.0143,16.4154,20.4065
nyudepth,single_nyudepth,4.2153,70.6687,52.6915,3.6286,0.0017,24.4547,13.0596,17.9772
nyudepth,single_nyudepth,4.2179,70.3688,52.6915,3.6286,0.0017,24.4547,10.4229,17.6773
nyudepth,single_nyudepth,4.2347,84.4443,29.3709,3.7349,0.0019,25.4593,49.5102,55.0734
nyudepth,single_nyudepth,4.3663,33.8316,27.7034,3.9761,0.0021,23.5293,2.1696,6.1282
nyudepth,single_nyudepth,4.7656,32.8605,27.5337,3.9754,0.0021,23.3648,1.3218,5.3269
nyudepth,single_nyudepth,4.8215,32.8703,27.3758,3.7115,0.0017,23.4934,0.9775,5.4945
nyudepth,single_nyudepth,4.8501,34.4355,28.2587,3.4982,0.0016,24.6141,2.2585,6.1768
nyudepth,single_nyudepth,4.8897,32.9275,28.1446,3.5772,0.0019,24.4007,0.8759,4.7829
nyudepth,single_nyudepth,4.9257,32.5415,27.7675,3.5823,0.0015,24.0288,0.8318,4.774
nyudepth,single_nyudepth,4.9402,48.0511,28.318,3.5194,0.0017,24.6432,15.7959,19.7331
nyudepth,single_nyudepth,5.0484,32.9516,27.7159,4.0038,0.002,23.5094,1.2248,5.2357
nyudepth,single_nyudepth,5.1865,33.4077,27.5783,4.0102,0.0024,23.3434,1.4486,5.8294
nyudepth,single_nyudepth,5.3362,34.4715,27.8089,4.4064,0.0021,23.1289,2.2469,6.6626
nyudepth,single_nyudepth,5.8672,33.3607,27.5517,4.0488,0.0023,23.2881,1.6017,5.809
nyudepth,single_nyudepth,6.0779,33.2186,27.5674,4.0441,0.0022,23.3206,1.5368,5.6512
nyudepth,single_nyudepth,6.2423,32.8937,27.5622,3.9832,0.0021,23.3732,1.3158,5.3314
nyudepth,single_nyudepth,6.3473,32.8138,27.5421,4.0358,0.0017,23.2974,1.2624,5.2716
nyudepth,single_nyudepth,6.4053,32.5165,27.3876,3.7231,0.0019,23.4773,1.1225,5.1289
nyudepth,single_nyudepth,6.4099,57.4405,27.7831,3.5724,0.0013,24.0607,25.7835,29.6574
nyudepth,single_nyudepth,6.5055,33.1829,28.0203,3.8891,0.0018,23.9356,1.1735,5.1625
nyudepth,single_nyudepth,6.5678,32.3896,27.3871,3.7904,0.0021,23.4128,1.0486,5.0026
nyudepth,single_nyudepth,6.7194,32.8448,27.563,4.0259,0.0021,23.3257,1.2903,5.2817
nyudepth,single_nyudepth,6.9215,32.9084,27.5373,3.9903,0.0021,23.3317,1.3318,5.3712
nyudepth,single_nyudepth,6.9544,32.6734,27.7969,3.4972,0.0015,24.1503,0.8137,4.8765
nyudepth,single_nyudepth,6.9599,57.5392,28.8093,3.5419,0.002,25.1171,24.8384,28.73
nyudepth,single_nyudepth,7.0525,33.3462,28.2319,4.2342,0.0018,23.832,1.1315,5.1143
nyudepth,single_nyudepth,7.3072,32.8755,27.5114,4.0044,0.002,23.2978,1.3158,5.3641
nyudepth,single_nyudepth,7.3892,32.7199,27.4678,3.9493,0.0021,23.3163,1.1964,5.2521
nyudepth,single_nyudepth,7.6032,32.8603,27.5451,3.9903,0.0022,23.346,1.3187,5.3152
nyudepth,single_nyudepth,7.6782,32.593,27.4754,3.8632,0.002,23.4152,1.1322,5.1176
nyudepth,single_nyudepth,7.809,32.8894,27.5332,3.9905,0.0021,23.3282,1.3819,5.3561
nyudepth,single_nyudepth,7.8377,33.7987,27.2621,3.5103,0.0018,23.6043,2.0704,6.5366
nyudepth,single_nyudepth,7.8519,51.9216,29.7132,4.2197,0.0015,25.3156,17.4553,22.2084
nyudepth,single_nyudepth,7.8665,128.4616,88.3862,16.8252,0.0019,23.7899,35.5916,40.0754
nyudepth,single_nyudepth,7.8776,119.7424,88.3862,16.8252,0.0019,23.7899,24.4596,31.3562
nyudepth,single_nyudepth,7.883,117.5497,88.3862,16.8252,0.0019,23.7899,19.047,29.1634
