task,device_url,n_requests,throughput_rps,avg_latency_ms
eclfore,10.100.31.64:8000,372,6.2,183.03501093259422
exchangefore,10.100.31.64:8000,361,6.016666666666667,182.59342621568166
gestureclass,10.100.31.64:8000,347,5.783333333333333,185.8269398768972
etth1fore,10.100.31.64:8000,331,5.516666666666667,181.48179933023596
ecgclass,10.100.31.64:8000,352,5.866666666666666,189.79971788146278
trafficfore,10.100.31.64:8000,369,6.15,185.75149370725885
