backbone,n_tasks,strategy,model_load_mem_mb,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps,avg_latency_ms,avg_batch_size,mixed_batch_fraction,batch_count
momentlarge,10,deploy_sharing,1636.746,1636.746,1719.315,82.5,121.382,10.0,1.0,495
momentlarge,1,task_sharing,1394.732,1394.732,1403.108,44.9833,22.23,1.0,0.0,2699
momentlarge,1,deploy_sharing,1402.857,1402.857,1411.233,44.9,22.278,1.0,0.0,2694
momentlarge,2,task_sharing,2805.715,2805.715,2822.691,49.9667,40.046,1.0,0.0,2998
momentlarge,2,deploy_sharing,1427.737,1427.737,1444.479,62.7333,31.886,2.0,1.0,1882
momentlarge,4,task_sharing,5627.675,5627.675,5666.27,34.5667,115.796,1.0,0.0,2074
momentlarge,4,deploy_sharing,1477.49,1477.49,1510.93,71.5333,55.932,4.0,1.0,1073
momentlarge,6,task_sharing,8529.635,8529.635,8588.42,29.4667,203.823,1.0,0.0,1768
momentlarge,6,deploy_sharing,1607.242,1607.242,1657.911,70.4,85.281,6.0,1.0,704
momentlarge,8,task_sharing,11511.594,11511.594,11589.973,28.7333,278.765,1.0,0.0,1724
momentlarge,8,deploy_sharing,1816.994,1816.994,1883.396,74.1333,108.096,8.0,1.0,556
