backbone,victim_task,victim_rps,aggressor_task,aggressor_rps,role,task,input_rps,output_rps,n_sent,n_completed,n_errors,avg_lat_ms,p50_lat_ms,p95_lat_ms,p99_lat_ms
qwen2.5-0.5b,sst2,10.0,conll2003,0.0,victim,sst2,10.0667,10.0667,302,302,0,33.788,31.477,53.877,80.039
qwen2.5-0.5b,sst2,10.0,conll2003,2.0,victim,sst2,9.9667,9.9667,299,299,0,33.899,31.168,53.891,91.686
qwen2.5-0.5b,sst2,10.0,conll2003,2.0,aggressor,conll2003,1.8667,1.8667,56,56,0,692.052,705.907,884.49,990.536
qwen2.5-0.5b,sst2,10.0,conll2003,5.0,victim,sst2,10.7667,10.7667,323,323,0,38.143,33.558,68.098,94.449
qwen2.5-0.5b,sst2,10.0,conll2003,5.0,aggressor,conll2003,4.5333,4.5333,136,136,0,799.113,817.454,1062.156,1163.935
qwen2.5-0.5b,sst2,10.0,conll2003,10.0,victim,sst2,9.4667,9.4667,284,284,0,41.649,36.133,75.477,124.77
qwen2.5-0.5b,sst2,10.0,conll2003,10.0,aggressor,conll2003,9.7667,9.7667,293,293,0,929.385,948.155,1233.966,1364.649
qwen2.5-0.5b,sst2,10.0,conll2003,20.0,victim,sst2,9.7,9.7,291,291,0,85.732,66.15,180.997,489.891
qwen2.5-0.5b,sst2,10.0,conll2003,20.0,aggressor,conll2003,20.7667,20.7667,623,623,0,2424.749,2268.692,3854.855,4028.147
qwen2.5-0.5b,sst2,10.0,conll2003,30.0,victim,sst2,9.6333,9.6333,289,289,0,165.4,143.085,332.173,473.625
qwen2.5-0.5b,sst2,10.0,conll2003,30.0,aggressor,conll2003,28.5,28.5,855,855,0,7188.315,8028.116,9299.093,9623.444
