num_adapted,num_tasks,aggregate_throughput_rps,avg_latency_ms_all,p95_latency_ms_all,p99_latency_ms_all,avg_latency_ms_adapted,avg_latency_ms_plain
0,10,73.1091,136.785,139.561,141.177,None,136.785
2,10,62.3636,160.44,163.418,164.862,160.441,160.44
4,10,55.8182,179.378,182.35,184.053,179.379,179.377
6,10,49.4545,202.509,205.228,207.312,202.512,202.506
8,10,44.5455,225.075,232.007,238.433,225.077,225.067
10,10,40.5455,247.301,251.849,255.264,247.301,None
