task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,589,0.9983,59.884,57.044,100.476,114.369,28.191,25.226,0.002,1.831,31.119,31.693
gestureclass,slot_1:gestureclass,sharing,617,1.0458,61.038,61.254,95.938,111.591,28.297,25.185,0.002,1.416,32.162,32.741
heartrate,slot_2:heartrate,sharing,587,0.9949,60.157,58.602,95.98,110.457,28.156,25.223,0.002,1.306,31.382,32.001
diasbp,slot_3:diasbp,sharing,575,0.9746,59.66,59.292,93.567,109.849,28.108,25.198,0.002,1.153,30.985,31.552
sysbp,slot_4:sysbp,sharing,579,0.9814,60.591,59.958,98.937,114.563,28.407,25.258,0.002,0.88,31.608,32.185
etth1fore,slot_5:etth1fore,sharing,595,1.0085,60.117,58.107,96.17,112.922,28.168,25.186,0.002,0.828,31.341,31.949
weatherfore,slot_6:weatherfore,sharing,615,1.0424,60.765,60.263,97.299,112.109,28.135,25.236,0.002,0.725,32.018,32.63
trafficfore,slot_7:trafficfore,sharing,574,0.9729,59.434,56.69,97.666,118.115,28.287,25.223,0.002,0.755,30.541,31.147
eclfore,slot_8:eclfore,sharing,579,0.9814,59.77,57.999,95.54,112.359,28.358,25.177,0.002,0.71,30.799,31.412
exchangefore,slot_9:exchangefore,sharing,591,1.0017,59.29,58.513,94.59,114.438,28.028,25.232,0.002,0.756,30.653,31.262
ecgclass,slot_10:ecgclass,sharing,564,0.9559,60.523,59.337,96.001,113.41,28.13,25.178,0.002,1.686,31.814,32.393
gestureclass,slot_11:gestureclass,sharing,577,0.978,60.359,58.592,99.56,111.728,28.128,25.15,0.002,1.28,31.65,32.231
heartrate,slot_12:heartrate,sharing,651,1.1034,59.217,57.506,93.165,105.3,27.614,25.18,0.002,1.141,31.044,31.603
diasbp,slot_13:diasbp,sharing,567,0.961,59.107,56.984,95.79,112.668,28.093,25.187,0.002,1.158,30.452,31.014
sysbp,slot_14:sysbp,sharing,627,1.0627,59.483,57.501,96.988,115.261,28.188,25.193,0.002,0.986,30.729,31.296
etth1fore,slot_15:etth1fore,sharing,589,0.9983,59.744,58.819,95.344,111.172,27.999,25.235,0.002,0.971,31.134,31.745
weatherfore,slot_16:weatherfore,sharing,562,0.9525,60.025,56.964,97.226,113.511,28.145,25.195,0.002,0.907,31.273,31.879
trafficfore,slot_17:trafficfore,sharing,576,0.9763,60.133,59.09,96.69,114.448,28.467,25.222,0.002,0.82,31.054,31.667
eclfore,slot_18:eclfore,sharing,605,1.0254,58.93,57.222,95.003,106.226,27.744,25.226,0.002,0.573,30.575,31.186
exchangefore,slot_19:exchangefore,sharing,566,0.9593,60.915,60.235,96.653,107.372,28.16,25.186,0.002,0.517,32.143,32.755
