task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,70.0,542,67.75,5100.782,5100.805,7716.227,8046.085,46.379,43.6,0.003,0.87,5053.811,0.0,5054.403
gestureclass,fifo,50.0,407,50.875,5153.543,5134.937,7749.144,7946.407,46.038,43.402,0.003,1.105,5106.924,0.0,5107.505
