task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,2906,4.9254,744.117,701.09,1334.331,1665.12,476.482,35.186,0.002,67.083,264.292,267.635
gestureclass,slot_1:gestureclass,sharing,2980,5.0508,747.798,705.52,1336.52,1668.464,479.741,35.304,0.003,16.549,264.614,268.058
heartrate,slot_2:heartrate,sharing,2937,4.978,746.933,703.959,1299.446,1627.146,481.204,35.089,0.003,2.741,262.217,265.729
diasbp,slot_3:diasbp,sharing,2972,5.0373,739.191,691.862,1314.612,1649.85,476.476,34.859,0.002,0.601,259.199,262.715
sysbp,slot_4:sysbp,sharing,2948,4.9966,757.792,706.569,1352.456,1686.022,486.654,35.297,0.002,0.174,267.298,271.138
etth1fore,slot_5:etth1fore,sharing,3012,5.1051,746.664,701.836,1339.276,1646.614,479.697,34.959,0.002,0.277,263.913,266.967
weatherfore,slot_6:weatherfore,sharing,2960,5.0169,745.85,704.86,1324.245,1697.769,481.209,35.035,0.002,0.243,261.574,264.641
trafficfore,slot_7:trafficfore,sharing,2979,5.0492,746.663,711.319,1312.048,1678.749,479.441,35.057,0.002,0.242,263.87,267.223
eclfore,slot_8:eclfore,sharing,2986,5.061,751.589,712.895,1340.712,1686.382,483.022,35.172,0.002,0.236,265.342,268.567
exchangefore,slot_9:exchangefore,sharing,2876,4.8746,743.402,709.768,1326.905,1631.808,477.941,35.003,0.002,0.245,262.19,265.461
ecgclass,slot_10:ecgclass,sharing,2864,4.8542,747.843,708.846,1321.612,1672.635,481.719,34.867,0.002,68.454,262.692,266.124
gestureclass,slot_11:gestureclass,sharing,3033,5.1407,744.919,697.563,1348.792,1727.956,478.968,34.971,0.003,15.489,262.599,265.951
heartrate,slot_12:heartrate,sharing,3063,5.1915,750.1,711.93,1321.821,1681.005,480.242,35.23,0.003,2.706,266.177,269.858
diasbp,slot_13:diasbp,sharing,2994,5.0746,759.668,719.357,1328.521,1710.224,484.282,35.318,0.002,0.602,271.846,275.386
sysbp,slot_14:sysbp,sharing,3079,5.2186,752.513,710.343,1333.612,1635.474,482.881,34.822,0.002,0.248,266.045,269.632
