task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing,5993,10.1576,35.093,28.277,63.517,84.406,29.134,27.769,0.002,0.697,5.378,0.0,5.958
gestureclass,no_sharing,5951,10.0864,34.898,28.217,62.487,86.323,28.953,27.59,0.002,0.71,5.37,0.0,5.945
