req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),gpu_time(ms),gpu_sync(ms),pred,true
0,0.0,site2,10.100.20.48:8001,papageip,diasbp,1768227063.339145,1768227063.3665454,426.79476737976074,395.677354,0.014161,395,0,58.433780670166016,56.0
1,0.10002778549597109,site2,10.100.20.48:8001,papageip,ecgclass,1768227063.4392643,1768227063.7667735,501.0948181152344,171.280855,0.003416,171,0,0.0,0.0
2,0.20005557099194218,site2,10.100.20.48:8001,papageip,ecgclass,1768227063.5398037,1768227063.9414947,409.08288955688477,5.8803730000000005,0.001923,5,0,0.0,0.0
3,0.30008335648791334,site2,10.100.20.48:8001,papageip,gestureclass,1768227063.6393101,1768227063.9497528,423.1128692626953,110.340484,0.003065,110,0,4.0,4.0
4,0.40011114198388437,site2,10.100.20.48:8001,papageip,ecgclass,1768227063.739824,1768227064.063316,330.63793182373047,5.802544,0.003044,5,0,0.0,0.0
5,0.5001389274798556,site2,10.100.20.48:8001,papageip,diasbp,1768227063.8401763,1768227064.071806,243.9267635345459,10.640798,0.002554,10,0,58.433780670166016,56.0
6,0.6001667129758267,site2,10.100.20.48:8001,papageip,ecgclass,1768227063.9397044,1768227064.0848696,152.0674228668213,5.658444,0.002564,5,0,0.0,0.0
7,0.7001944984717977,site2,10.100.20.48:8001,papageip,heartrate,1768227064.0401838,1768227064.0928333,59.56768989562988,5.509948,0.002614,5,0,61.56974411010742,69.0
8,0.8002222839677687,site2,10.100.20.48:8001,papageip,ecgclass,1768227064.1403124,1768227064.1427898,9.892940521240234,5.917339,0.0041860000000000005,5,0,0.0,0.0
9,0.9002500694637399,site2,10.100.20.48:8001,papageip,ecgclass,1768227064.2395527,1768227064.242085,10.31947135925293,6.256736,0.0028940000000000003,6,0,0.0,0.0
10,1.000277854959711,site2,10.100.20.48:8001,papageip,ecgclass,1768227064.340155,1768227064.3425877,10.401248931884766,6.258839,0.003205,6,0,0.0,0.0
11,1.1003056404556821,site2,10.100.20.48:8001,papageip,sysbp,1768227064.439857,1768227064.4423068,10.315895080566406,6.298759,0.005118,6,0,104.82756042480469,98.0
12,1.2003334259516534,site2,10.100.20.48:8001,papageip,heartrate,1768227064.5394533,1768227064.5418777,10.202169418334961,6.174511,0.005038,5,0,61.56974411010742,69.0
13,1.3003612114476244,site2,10.100.20.48:8001,papageip,heartrate,1768227064.6399689,1768227064.6425433,10.309457778930664,6.170385,0.003004,5,0,61.56974411010742,69.0
14,1.4003889969435954,site2,10.100.20.48:8001,papageip,diasbp,1768227064.7395926,1768227064.7420256,10.47372817993164,6.380654000000001,0.0050479999999999995,6,0,58.433780670166016,56.0
15,1.5004167824395667,site2,10.100.20.48:8001,papageip,ecgclass,1768227064.8403764,1768227064.8428204,10.527849197387695,6.290167,0.005348,6,0,0.0,0.0
16,1.6004445679355375,site2,10.100.20.48:8001,papageip,ecgclass,1768227064.9401739,1768227064.94259,10.377883911132812,6.280553,0.003245,6,0,0.0,0.0
17,1.7004723534315087,site2,10.100.20.48:8001,papageip,ecgclass,1768227065.0398421,1768227065.042285,10.43701171875,6.448988999999999,0.002824,6,0,0.0,0.0
18,1.8005001389274797,site2,10.100.20.48:8001,papageip,gestureclass,1768227065.1405966,1768227065.1430545,10.391473770141602,6.374035,0.005519,6,0,4.0,4.0
19,1.900527924423451,site2,10.100.20.48:8001,papageip,ecgclass,1768227065.2402868,1768227065.2427251,10.22648811340332,6.312371,0.005329,6,0,0.0,0.0
20,2.000555709919422,site2,10.100.20.48:8001,papageip,sysbp,1768227065.339781,1768227065.3422046,10.449647903442383,6.243045,0.005178,6,0,104.82756042480469,98.0
21,2.100583495415393,site2,10.100.20.48:8001,papageip,ecgclass,1768227065.440514,1768227065.442888,10.16998291015625,6.43021,0.004948,6,0,0.0,0.0
22,2.2006112809113643,site2,10.100.20.48:8001,papageip,ecgclass,1768227065.5399294,1768227065.5423112,10.201454162597656,6.404381,0.002964,6,0,0.0,0.0
23,2.3006390664073355,site2,10.100.20.48:8001,papageip,heartrate,1768227065.640429,1768227065.6429157,10.335206985473633,6.244007,0.005659,6,0,61.56974411010742,69.0
