task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,197,19.7,25.297,21.538,44.156,50.972
gestureclass,sharing,197,19.7,24.83,22.349,43.829,50.584
