task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,1646,9.6824,11.946,11.007,18.917,25.006
gestureclass,sharing,1702,10.0118,12.028,10.974,19.332,26.289
