run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
0,0,151.5658,135.716,15.5708,0.0025,443.067
0,1,9.8029,9.3637,0.2672,0.0012,443.067
0,2,10.7998,10.3141,0.3129,0.0037,443.067
0,3,9.5948,9.1549,0.2724,0.0014,443.067
0,4,9.4621,9.0249,0.2731,0.001,443.067
0,5,9.5491,9.0325,0.2555,0.001,443.067
0,6,9.4324,9.0394,0.2489,0.0012,443.067
0,7,9.4829,9.0649,0.2575,0.0011,443.067
0,8,9.463,9.0501,0.2639,0.0009,443.067
0,9,9.4625,9.0628,0.2534,0.0011,443.067
0,10,9.5223,9.0786,0.2865,0.0011,443.067
0,11,9.4289,9.0042,0.2671,0.0012,443.067
0,12,9.6012,9.0292,0.4072,0.0011,443.067
0,13,9.4185,9.0187,0.2516,0.0012,443.067
0,14,9.4069,9.0146,0.2501,0.001,443.067
0,15,9.477,9.07,0.2592,0.0013,443.067
0,16,9.4504,9.0256,0.2678,0.0011,443.067
0,17,9.4992,9.0908,0.2617,0.0009,443.067
0,18,9.4625,9.062,0.2546,0.001,443.067
0,19,9.4671,9.0551,0.2567,0.0012,443.067
0,20,9.492,9.0458,0.2865,0.0015,443.067
0,21,9.4426,9.0166,0.2679,0.0011,443.067
0,22,9.6617,9.05,0.2507,0.001,443.067
0,23,9.4388,9.0434,0.2571,0.0012,443.067
0,24,9.4399,9.0424,0.2553,0.0011,443.067
0,25,9.5088,9.1086,0.2528,0.0012,443.067
0,26,9.4482,9.0399,0.2628,0.001,443.067
0,27,9.4942,9.0938,0.2566,0.0008,443.067
0,28,9.4888,9.0877,0.2499,0.0013,443.067
0,29,9.4951,9.089,0.2652,0.0012,443.067
0,30,9.4992,9.084,0.269,0.001,443.067
0,31,9.5328,9.1147,0.2623,0.0011,443.067
0,32,9.8002,9.1312,0.5063,0.001,443.067
0,33,9.5269,9.1145,0.2576,0.0015,443.067
0,34,9.4888,9.0928,0.2591,0.0009,443.067
0,35,9.5181,9.1222,0.2547,0.0012,443.067
0,36,9.4805,9.0805,0.255,0.0011,443.067
0,37,9.4943,9.0868,0.2607,0.0014,443.067
0,38,9.5264,9.1213,0.2581,0.0011,443.067
0,39,9.507,9.0947,0.2608,0.0012,443.067
0,40,9.5334,9.1286,0.2629,0.0008,443.067
0,41,9.5582,9.1456,0.264,0.0011,443.067
0,42,9.5565,9.123,0.2737,0.0012,443.067
0,43,9.763,9.3728,0.253,0.0012,443.067
0,44,9.4788,9.0809,0.2551,0.001,443.067
0,45,9.4922,9.0788,0.2724,0.0011,443.067
0,46,9.468,9.0688,0.2571,0.0014,443.067
0,47,9.4602,9.0498,0.2595,0.001,443.067
0,48,9.4398,9.0384,0.2534,0.001,443.067
0,49,9.4293,9.0243,0.2594,0.0012,443.067
0,50,9.4171,9.0045,0.2686,0.001,443.067
0,51,9.4367,9.0194,0.2676,0.001,443.067
0,52,9.4245,9.0225,0.2584,0.0014,443.067
0,53,9.7144,9.0388,0.253,0.001,443.067
0,54,9.3965,9.0106,0.2449,0.0015,443.067
0,55,9.4542,9.0579,0.2541,0.0013,443.067
0,56,9.5072,9.1076,0.2523,0.0009,443.067
0,57,9.4474,9.048,0.2554,0.0011,443.067
0,58,9.4535,9.0509,0.2547,0.0012,443.067
0,59,9.5414,9.1037,0.2685,0.0012,443.067
0,60,9.497,9.0785,0.2744,0.0013,443.067
0,61,9.5622,9.1621,0.2574,0.0011,443.067
0,62,9.4953,9.0908,0.2567,0.0011,443.067
