run_idx,backbone,task,n_requests,device,backbone memory(MB),backbone load time(ms),decoder memory(MB),decoder load time(ms),encoder memory(MB),encoder load time(ms),adapter memory(MB),adapter load time(ms),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ),lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,backbone_mean_ms,decoder_mean_ms,swap_mean_ms,gpu_peak_mean_mb
0,momentbase,ecgclass,200,NVIDIA A16,455.474688,1298.4350970946252,0.3968,2.293603029102087,,,,,,,,10.278,443.067,,10.278,9.532,9.852,10.017,9.764,0.351,0.001,443.067
1,momentbase,ecgclass,200,NVIDIA A16,455.474688,1243.052712175995,0.3968,1.867848914116621,,,,,,,,10.297,443.067,,10.297,9.537,9.924,10.249,9.788,0.346,0.001,443.067
2,momentbase,ecgclass,200,NVIDIA A16,455.474688,1251.2316317297518,0.3968,2.0746621303260326,,,,,,,,10.268,443.067,,10.268,9.525,9.837,10.115,9.762,0.343,0.001,443.067
3,momentbase,ecgclass,200,NVIDIA A16,455.474688,1283.9370351284742,0.3968,1.8703029491007328,,,,,,,,10.288,443.067,,10.288,9.535,9.87,10.141,9.762,0.345,0.001,443.067
4,momentbase,ecgclass,200,NVIDIA A16,455.474688,1702.1521623246372,0.3968,1.8624700605869293,,,,,,,,10.276,443.067,,10.276,9.521,9.867,10.177,9.773,0.342,0.001,443.067
0,chronosbase,ecgclass,200,NVIDIA A16,420.18304,698.2961767353117,0.3968,1.803661696612835,,,,,,,,31.041,409.222,,31.041,29.796,30.167,30.454,29.969,0.879,0.002,409.222
1,chronosbase,ecgclass,200,NVIDIA A16,420.18304,663.4985166601837,0.3968,1.7840121872723103,,,,,,,,31.257,409.222,,31.257,29.808,30.294,39.693,30.131,0.934,0.002,409.222
2,chronosbase,ecgclass,200,NVIDIA A16,420.18304,807.6866967603564,0.3968,1.5976191498339176,,,,,,,,31.049,409.222,,31.049,29.812,30.23,30.419,29.978,0.88,0.002,409.222
3,chronosbase,ecgclass,200,NVIDIA A16,420.18304,893.0000681430101,0.3968,1.5870542265474796,,,,,,,,31.376,409.222,,31.376,29.868,30.374,39.503,30.186,0.998,0.002,409.222
4,chronosbase,ecgclass,200,NVIDIA A16,420.18304,772.7504842914641,0.3968,1.8070358783006668,,,,,,,,31.072,409.222,,31.072,29.841,30.238,30.425,29.999,0.881,0.002,409.222
