task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,sharing,23258,80.2,41.241,40.633,56.74,64.152,13.704
gestureclass,sharing,23022,79.3862,41.113,40.295,56.522,63.785,13.675
