task,condition,elapsed_sec,latency_ms,server_exec_ms,server_start_ns
ecgclass,sharing,0.0001,286.4711,284.6943,1775517568630995369
ecgclass,sharing,0.0308,345.9322,80.0657,1775517568925695291
ecgclass,sharing,0.0598,317.1742,80.0657,1775517568925695291
ecgclass,sharing,0.0895,287.6334,80.0657,1775517568925695291
ecgclass,sharing,0.0928,284.6408,80.0657,1775517568925695291
ecgclass,sharing,0.0941,283.3729,80.0657,1775517568925695291
ecgclass,sharing,0.1127,264.9355,80.0657,1775517568925695291
ecgclass,sharing,0.1301,247.8511,80.0657,1775517568925695291
ecgclass,sharing,0.1694,210.9447,80.0657,1775517568925695291
ecgclass,sharing,0.1697,210.7217,80.0657,1775517568925695291
ecgclass,sharing,0.1827,197.6612,80.0657,1775517568925695291
ecgclass,sharing,0.184,196.3422,80.0657,1775517568925695291
ecgclass,sharing,0.1978,182.6453,80.0657,1775517568925695291
ecgclass,sharing,0.2193,161.0749,80.0657,1775517568925695291
ecgclass,sharing,0.2237,156.7245,80.0657,1775517568925695291
ecgclass,sharing,0.2399,140.465,80.0657,1775517568925695291
ecgclass,sharing,0.2413,139.1332,80.0657,1775517568925695291
ecgclass,sharing,0.2426,137.8665,80.0657,1775517568925695291
ecgclass,sharing,0.2461,134.8608,80.0657,1775517568925695291
ecgclass,sharing,0.2577,123.2445,80.0657,1775517568925695291
ecgclass,sharing,0.263,117.9843,80.0657,1775517568925695291
ecgclass,sharing,0.2786,102.3703,80.0657,1775517568925695291
ecgclass,sharing,0.281,100.0972,80.0657,1775517568925695291
ecgclass,sharing,0.3056,109.3266,28.0658,1775517569016055548
ecgclass,sharing,0.3199,95.2296,28.0658,1775517569016055548
ecgclass,sharing,0.3282,87.7876,28.0658,1775517569016055548
ecgclass,sharing,0.3326,83.4401,28.0658,1775517569016055548
ecgclass,sharing,0.3382,77.801,28.0658,1775517569016055548
ecgclass,sharing,0.3395,76.7171,28.0658,1775517569016055548
ecgclass,sharing,0.3419,74.3873,28.0658,1775517569016055548
ecgclass,sharing,0.3505,65.8,28.0658,1775517569016055548
ecgclass,sharing,0.3551,61.3711,28.0658,1775517569016055548
ecgclass,sharing,0.3716,45.043,28.0658,1775517569016055548
ecgclass,sharing,0.3802,66.6013,17.9326,1775517569058086692
ecgclass,sharing,0.3826,64.4722,17.9326,1775517569058086692
ecgclass,sharing,0.3889,58.3587,17.9326,1775517569058086692
ecgclass,sharing,0.3972,50.5035,17.9326,1775517569058086692
ecgclass,sharing,0.4009,46.8497,17.9326,1775517569058086692
ecgclass,sharing,0.4051,42.5837,17.9326,1775517569058086692
ecgclass,sharing,0.4161,56.9344,15.9442,1775517569086216256
ecgclass,sharing,0.4198,53.647,15.9442,1775517569086216256
ecgclass,sharing,0.4362,37.2391,15.9442,1775517569086216256
ecgclass,sharing,0.4542,41.1589,14.9113,1775517569109699643
ecgclass,sharing,0.4685,27.0665,14.9113,1775517569109699643
ecgclass,sharing,0.4685,27.0579,14.9113,1775517569109699643
ecgclass,sharing,0.483,30.714,12.751,1775517569130052288
ecgclass,sharing,0.4996,34.5142,14.194,1775517569149158969
ecgclass,sharing,0.5132,43.8669,15.6004,1775517569170828548
ecgclass,sharing,0.517,40.2753,15.6004,1775517569170828548
ecgclass,sharing,0.5205,37.0245,15.6004,1775517569170828548
ecgclass,sharing,0.5228,34.9114,15.6004,1775517569170828548
ecgclass,sharing,0.5276,30.1874,15.6004,1775517569170828548
ecgclass,sharing,0.5276,30.2427,15.6004,1775517569170828548
ecgclass,sharing,0.53,27.9224,15.6004,1775517569170828548
ecgclass,sharing,0.5462,28.1692,11.801,1775517569192008758
ecgclass,sharing,0.5967,34.652,13.2467,1775517569247114798
ecgclass,sharing,0.6037,28.0888,13.2467,1775517569247114798
