req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.0,site2,10.100.20.31:8000,momentbase,diasbp,1770930851.907827,1770930851.941087,1770930852.3699002,468.68348121643066,421.317182,0.000899,7.447388999999999,68.63019561767578,56.0
1,0.020001111172842936,site2,10.100.20.31:8000,momentbase,ecgclass,1770930851.9284956,1770930852.3777227,1770930852.3890922,462.6607894897461,7.5427740000000005,0.003183,3.610716,0.0,0.0
2,0.04000222234568587,site2,10.100.20.31:8000,momentbase,ecgclass,1770930851.9493382,1770930852.3777227,1770930852.3890922,441.9126510620117,7.5427740000000005,0.000427,0.18546400000000002,0.0,0.0
3,0.06000333351852881,site2,10.100.20.31:8000,momentbase,gestureclass,1770930851.9686863,1770930852.3924677,1770930852.398804,431.64610862731934,6.140477,0.002686,0.167876,3.0,4.0
4,0.08000444469137175,site2,10.100.20.31:8000,momentbase,ecgclass,1770930851.9880257,1770930852.4012375,1770930852.407305,420.7794666290283,5.8937,0.002235,0.153193,0.0,0.0
5,0.10000555586421468,site2,10.100.20.31:8000,momentbase,diasbp,1770930852.00837,1770930852.4097419,1770930852.4159727,408.80584716796875,6.05727,0.002231,0.153275,69.11811065673828,56.0
6,0.12000666703705762,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.0287561,1770930852.418549,1770930852.4246871,397.19486236572266,5.971520999999999,0.0019069999999999998,0.147415,0.0,0.0
7,0.14000777820990054,site2,10.100.20.31:8000,momentbase,heartrate,1770930852.0481064,1770930852.4269905,1770930852.4334104,386.7814540863037,6.204198,0.002223,0.195727,68.59175872802734,69.0
8,0.1600088893827435,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.068414,1770930852.4360406,1770930852.4424834,376.33204460144043,6.080311,0.002036,0.151516,0.0,0.0
9,0.1800100005555864,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.0887449,1770930852.4360406,1770930852.4424834,356.22477531433105,6.080311,0.00032,0.09983900000000001,0.0,0.0
10,0.20001111172842936,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.1081192,1770930852.4360406,1770930852.4424834,336.9026184082031,6.080311,0.000215,0.08773800000000001,0.0,0.0
11,0.2200122229012723,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.1285315,1770930852.4465365,1770930852.4639423,338.4437561035156,7.208540999999999,0.00244,9.870989999999999,120.49847412109375,98.0
12,0.24001333407411524,site2,10.100.20.31:8000,momentbase,heartrate,1770930852.1478467,1770930852.4465365,1770930852.4639423,319.17262077331543,7.208540999999999,0.001337,0.11689100000000001,71.55594635009766,69.0
13,0.26001444524695816,site2,10.100.20.31:8000,momentbase,heartrate,1770930852.1682382,1770930852.4465365,1770930852.4639423,298.81882667541504,7.208540999999999,0.000234,0.09318800000000001,70.39860534667969,69.0
14,0.2800155564198011,site2,10.100.20.31:8000,momentbase,diasbp,1770930852.1886134,1770930852.4465365,1770930852.4639423,278.48029136657715,7.208540999999999,0.000773,0.08894200000000001,69.98779296875,56.0
15,0.300016667592644,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.2080162,1770930852.4679265,1770930852.4746006,268.8558101654053,6.31079,0.002041,0.154306,0.0,0.0
16,0.320017778765487,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.2284465,1770930852.4679265,1770930852.4746006,248.53849411010742,6.31079,0.000339,0.098804,0.0,0.0
17,0.3400188899383299,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.2477863,1770930852.4679265,1770930852.4746006,229.23731803894043,6.31079,0.000203,0.08703999999999999,0.0,0.0
18,0.3600200011111728,site2,10.100.20.31:8000,momentbase,gestureclass,1770930852.2681465,1770930852.47789,1770930852.4840271,217.06891059875488,5.963058,0.001993,0.154138,4.0,4.0
19,0.38002111228401575,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.2885745,1770930852.4862955,1770930852.4924898,205.3811550140381,6.0212069999999995,0.0021809999999999998,0.15349800000000002,0.0,0.0
20,0.4000222234568587,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.3079276,1770930852.4947603,1770930852.5010803,194.37384605407715,6.153607999999999,0.0021160000000000003,0.147021,119.92906951904297,98.0
21,0.42002333462970165,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.3282685,1770930852.5034347,1770930852.509995,183.31050872802734,6.2837179999999995,0.002022,0.156157,0.0,0.0
22,0.4400244458025446,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.3486154,1770930852.5034347,1770930852.509995,163.05136680603027,6.2837179999999995,0.000299,0.098383,0.0,0.0
23,0.4600255569753875,site2,10.100.20.31:8000,momentbase,heartrate,1770930852.367934,1770930852.513364,1770930852.5300896,164.45279121398926,5.989932,0.002188,10.3353,69.80592346191406,69.0
24,0.4800266681482305,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.3887515,1770930852.513364,1770930852.5300896,143.77593994140625,5.989932,0.00157,0.186309,120.54937744140625,98.0
25,0.5000277793210733,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.4085078,1770930852.513364,1770930852.5300896,124.06492233276367,5.989932,0.000324,0.09922299999999999,121.65625762939453,98.0
26,0.5200288904939163,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.4280977,1770930852.513364,1770930852.5300896,104.51745986938477,5.989932,0.00020800000000000001,0.087093,121.44491577148438,98.0
27,0.5400300016667593,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.4481726,1770930852.5338702,1770930852.5398617,92.94557571411133,5.819725,0.002106,0.151428,0.0,0.0
28,0.5600311128396022,site2,10.100.20.31:8000,momentbase,sysbp,1770930852.46827,1770930852.5423214,1770930852.5516384,84.95163917541504,5.991333,0.001993,3.149502,120.37374877929688,98.0
29,0.5800322240124451,site2,10.100.20.31:8000,momentbase,heartrate,1770930852.4883614,1770930852.5423214,1770930852.5516384,64.89849090576172,5.991333,0.001536,0.15247200000000002,69.93899536132812,69.0
30,0.600033335185288,site2,10.100.20.31:8000,momentbase,gestureclass,1770930852.5084574,1770930852.5577033,1770930852.5676854,61.71298027038574,9.81366,0.002106,0.14898799999999998,4.0,4.0
31,0.620034446358131,site2,10.100.20.31:8000,momentbase,diasbp,1770930852.5278623,1770930852.5710742,1770930852.577253,50.63891410827637,5.96563,0.002146,0.192854,68.36036682128906,56.0
32,0.640035557530974,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.548266,1770930852.579687,1770930852.5861468,39.40582275390625,6.189518,0.002007,0.15045799999999998,0.0,0.0
33,0.6600366687038168,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.5684843,1770930852.579687,1770930852.5861468,19.341707229614258,6.189518,0.00032599999999999996,0.098172,0.0,0.0
34,0.6800377798766598,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.5878322,1770930852.589101,1770930852.595143,8.557319641113281,5.872192,0.000489,0.15204600000000001,0.0,0.0
35,0.7000388910495028,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.6085384,1770930852.6098077,1770930852.6157768,8.472204208374023,5.798948,0.000575,0.152268,0.0,0.0
36,0.7200400022223457,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.628168,1770930852.629465,1770930852.6354454,8.553504943847656,5.814671000000001,0.00053,0.14695999999999998,0.0,0.0
37,0.7400411133951886,site2,10.100.20.31:8000,momentbase,gestureclass,1770930852.6478581,1770930852.6491237,1770930852.655097,8.514642715454102,5.805804999999999,0.002041,0.147068,4.0,4.0
38,0.7600422245680315,site2,10.100.20.31:8000,momentbase,ecgclass,1770930852.668525,1770930852.669788,1770930852.6758027,8.53872299194336,5.837477,0.0020109999999999998,0.152142,0.0,0.0
