task,device,t_center,count,throughput_rps,p50_ms,p99_ms
exchangefore,172.31.40.38:8000,0.5,6,6.0,27.420878410339355,52.35328674316406
exchangefore,172.31.40.38:8000,1.5,6,6.0,24.730801582336426,33.161485195159905
exchangefore,172.31.40.38:8000,2.5,4,4.0,24.08444881439209,26.95250511169434
exchangefore,172.31.40.38:8000,3.5,2,2.0,33.483147621154785,42.19818353652955
exchangefore,172.31.40.38:8000,4.5,5,5.0,40.313005447387695,59.91525650024414
exchangefore,172.31.40.38:8000,5.5,3,3.0,24.33323860168457,37.48190402984619
exchangefore,172.31.40.38:8000,6.5,8,8.0,23.937344551086426,29.188849925994873
exchangefore,172.31.40.38:8000,7.5,6,6.0,24.332880973815918,30.530321598052982
exchangefore,172.31.40.38:8000,8.5,1,1.0,30.11918067932129,30.11918067932129
exchangefore,172.31.40.38:8000,9.5,5,5.0,25.069713592529297,26.12010955810547
exchangefore,172.31.40.38:8000,10.5,6,6.0,24.584054946899414,34.327197074890144
exchangefore,172.31.40.38:8000,11.5,3,3.0,24.435997009277344,24.44814682006836
exchangefore,172.31.40.38:8000,12.5,9,9.0,25.70366859436035,33.22710037231445
exchangefore,172.31.40.38:8000,13.5,8,8.0,24.60479736328125,45.68450689315795
exchangefore,172.31.40.38:8000,14.5,2,2.0,31.34584426879883,38.61727237701417
exchangefore,172.31.40.38:8000,15.5,4,4.0,24.767637252807617,41.92505121231079
exchangefore,172.31.40.38:8000,16.5,10,10.0,24.599432945251465,41.79814577102661
exchangefore,172.31.40.38:8000,17.5,3,3.0,24.16491508483887,24.173092842102054
exchangefore,172.31.40.38:8000,18.5,13,13.0,28.00226211547852,50.615224838256836
exchangefore,172.31.40.38:8000,19.5,7,7.0,25.203466415405273,31.538305282592773
exchangefore,172.31.40.38:8000,20.5,15,15.0,25.06542205810547,46.469759941101074
exchangefore,172.31.40.38:8000,21.5,11,11.0,24.633169174194336,35.72118282318115
exchangefore,172.31.40.38:8000,22.5,5,5.0,25.48336982727051,30.741806030273438
exchangefore,172.31.40.38:8000,23.5,11,11.0,25.69365501403809,40.2806282043457
exchangefore,172.31.40.38:8000,24.5,6,6.0,24.448394775390625,41.74712896347046
