task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
exchangefore,0.5,6,6.0,27.420878410339355,52.35328674316406,33.049424489339195
exchangefore,1.5,6,6.0,24.730801582336426,33.161485195159905,26.231567064921062
exchangefore,2.5,4,4.0,24.08444881439209,26.95250511169434,24.780750274658203
exchangefore,3.5,2,2.0,33.483147621154785,42.19818353652955,33.483147621154785
exchangefore,4.5,5,5.0,40.313005447387695,59.91525650024414,39.46223258972168
exchangefore,5.5,3,3.0,24.33323860168457,37.48190402984619,28.648932774861652
exchangefore,6.5,8,8.0,23.937344551086426,29.188849925994873,24.66556429862976
exchangefore,7.5,6,6.0,24.332880973815918,30.530321598052982,25.36308765411377
exchangefore,8.5,1,1.0,30.11918067932129,30.11918067932129,30.11918067932129
exchangefore,9.5,5,5.0,25.069713592529297,26.12010955810547,24.963903427124023
exchangefore,10.5,6,6.0,24.584054946899414,34.327197074890144,26.141881942749023
exchangefore,11.5,3,3.0,24.435997009277344,24.44814682006836,24.39268430074056
exchangefore,12.5,9,9.0,25.70366859436035,33.22710037231445,27.39413579305013
exchangefore,13.5,8,8.0,24.60479736328125,45.68450689315795,28.248488903045654
exchangefore,14.5,2,2.0,31.34584426879883,38.61727237701417,31.34584426879883
exchangefore,15.5,4,4.0,24.767637252807617,41.92505121231079,29.033303260803223
exchangefore,16.5,10,10.0,24.599432945251465,41.79814577102661,26.598048210144043
exchangefore,17.5,3,3.0,24.16491508483887,24.173092842102054,24.078130722045902
exchangefore,18.5,13,13.0,28.00226211547852,50.615224838256836,31.664408170259914
exchangefore,19.5,7,7.0,25.203466415405273,31.538305282592773,25.979791368756974
exchangefore,20.5,15,15.0,25.06542205810547,46.469759941101074,30.054521560668945
exchangefore,21.5,11,11.0,24.633169174194336,35.72118282318115,26.68484774502841
exchangefore,22.5,5,5.0,25.48336982727051,30.741806030273438,26.452922821044922
exchangefore,23.5,11,11.0,25.69365501403809,40.2806282043457,28.34617007862438
exchangefore,24.5,6,6.0,24.448394775390625,41.74712896347046,27.504563331604004
