task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,sharing,0.0,258.925,248.318,191.6524,0.0022,56.3502,4.6065,10.6069
nyudepth,sharing,0.0611,403.9273,200.7262,22.5912,0.0041,4.2087,196.0151,203.2011
nyudepth,sharing,0.1196,350.0316,200.7262,22.5912,0.0041,4.2087,137.5003,149.3054
nyudepth,sharing,0.1794,421.0885,129.3477,5.9315,0.0015,38.3128,287.6635,291.7408
nyudepth,sharing,0.1862,421.4985,129.3477,5.9315,0.0015,38.3128,280.8878,292.1509
nyudepth,sharing,0.1879,422.2553,129.3477,5.9315,0.0015,38.3128,279.1247,292.9076
nyudepth,sharing,0.2244,508.5378,121.1291,7.0153,0.0035,0.3669,381.0551,387.4087
nyudepth,sharing,0.259,478.5249,121.1291,7.0153,0.0035,0.3669,346.4572,357.3958
nyudepth,sharing,0.3371,528.2688,120.7237,4.2895,0.0009,38.3266,398.5362,407.5451
nyudepth,sharing,0.34,532.3312,120.7237,4.2895,0.0009,38.3266,395.7036,411.6075
nyudepth,sharing,0.3656,506.7432,120.7237,4.2895,0.0009,38.3266,370.106,386.0194
nyudepth,sharing,0.3672,626.5333,120.4587,4.3123,0.0034,0.3677,499.0163,506.0746
nyudepth,sharing,0.3942,607.1458,120.4587,4.3123,0.0034,0.3677,472.0254,486.6871
nyudepth,sharing,0.438,711.5939,121.0773,4.2963,0.0012,38.4237,557.5788,590.5165
nyudepth,sharing,0.448,701.6234,121.0773,4.2963,0.0012,38.4237,547.5934,580.5461
nyudepth,sharing,0.478,671.5865,121.0773,4.2963,0.0012,38.4237,517.5493,550.5092
nyudepth,sharing,0.4825,774.4915,121.2273,4.3722,0.0044,0.3723,643.4374,653.2642
nyudepth,sharing,0.485,777.5829,121.2273,4.3722,0.0044,0.3723,640.9662,656.3556
nyudepth,sharing,0.4929,890.5892,123.0099,4.3278,0.001,39.0742,763.1791,767.5793
nyudepth,sharing,0.5152,879.3306,123.0099,4.3278,0.001,39.0742,740.8962,756.3207
nyudepth,sharing,0.5249,869.6589,123.0099,4.3278,0.001,39.0742,731.2102,746.649
nyudepth,sharing,0.5571,962.3108,124.098,4.3176,0.0043,0.3558,831.6708,838.2127
nyudepth,sharing,0.5619,962.774,124.098,4.3176,0.0043,0.3558,826.8871,838.676
nyudepth,sharing,0.6077,1040.9403,121.9811,4.6634,0.0011,38.5874,914.2363,918.9592
nyudepth,sharing,0.6382,1015.2972,121.9811,4.6634,0.0011,38.5874,883.7616,893.3161
nyudepth,sharing,0.655,1003.0265,121.9811,4.6634,0.0011,38.5874,866.9968,881.0454
nyudepth,sharing,0.667,1121.8188,122.3511,4.2595,0.0038,0.3653,986.6343,999.4677
nyudepth,sharing,0.6767,1114.3911,122.3511,4.2595,0.0038,0.3653,976.9442,992.04
nyudepth,sharing,0.6784,1232.0583,120.953,4.2915,0.0008,38.4058,1106.9047,1111.1053
nyudepth,sharing,0.6837,1231.6124,120.953,4.2915,0.0008,38.4058,1101.6214,1110.6595
nyudepth,sharing,0.7001,1219.8985,120.953,4.2915,0.0008,38.4058,1085.2621,1098.9455
nyudepth,sharing,0.7105,1333.5943,123.2824,4.3134,0.0042,0.8267,1203.8417,1210.3119
nyudepth,sharing,0.7419,1306.7806,123.2824,4.3134,0.0042,0.8267,1172.4224,1183.4982
nyudepth,sharing,0.7594,1412.971,121.0211,4.3118,0.0007,38.3858,1287.2455,1291.9499
nyudepth,sharing,0.7654,1412.37,121.0211,4.3118,0.0007,38.3858,1281.2662,1291.3489
nyudepth,sharing,0.7768,1406.1809,121.0211,4.3118,0.0007,38.3858,1269.8462,1285.1598
nyudepth,sharing,0.7933,1517.0176,122.4054,4.4249,0.0037,0.3847,1384.8269,1394.6122
nyudepth,sharing,0.8014,1513.5338,122.4054,4.4249,0.0037,0.3847,1376.7028,1391.1284
nyudepth,sharing,0.8091,1627.7647,122.7097,4.3064,0.0007,38.9766,1500.864,1505.055
nyudepth,sharing,0.8316,1610.2331,122.7097,4.3064,0.0007,38.9766,1478.38,1487.5234
nyudepth,sharing,0.8389,1778.7619,122.7097,4.3064,0.0007,38.9766,1471.0748,1656.0522
nyudepth,sharing,0.8723,1877.5659,125.5738,11.1728,0.0039,0.4189,1744.9794,1751.992
nyudepth,sharing,0.9074,1847.2893,125.5738,11.1728,0.0039,0.4189,1709.933,1721.7155
nyudepth,sharing,0.9348,1942.5011,121.1374,5.0452,0.0013,38.2108,1817.2605,1821.3636
nyudepth,sharing,0.9375,1947.0384,121.1374,5.0452,0.0013,38.2108,1814.5921,1825.901
nyudepth,sharing,0.9682,1918.8433,121.1374,5.0452,0.0013,38.2108,1783.8488,1797.7058
nyudepth,sharing,1.0014,2009.6438,121.843,4.3235,0.0039,0.3653,1881.2294,1887.8008
nyudepth,sharing,1.0259,1989.8372,121.843,4.3235,0.0039,0.3653,1856.7483,1867.9942
nyudepth,sharing,1.033,2107.2817,122.0209,4.6001,0.0012,38.6514,1981.1172,1985.2608
nyudepth,sharing,1.0413,2106.1153,122.0209,4.6001,0.0012,38.6514,1972.8191,1984.0945
nyudepth,sharing,1.0463,2103.4369,122.0209,4.6001,0.0012,38.6514,1967.8175,1981.4161
nyudepth,sharing,1.054,2223.1095,121.3988,4.3181,0.0042,0.3611,2091.3246,2101.7107
nyudepth,sharing,1.0556,2226.2101,121.3988,4.3181,0.0042,0.3611,2089.7064,2104.8113
nyudepth,sharing,1.137,2264.7846,121.5847,4.4226,0.0009,38.5823,2138.9472,2143.1999
nyudepth,sharing,1.137,2271.8997,121.5847,4.4226,0.0009,38.5823,2138.932,2150.315
nyudepth,sharing,1.1915,2219.8374,121.5847,4.4226,0.0009,38.5823,2084.5022,2098.2528
nyudepth,sharing,1.2059,2333.37,125.4511,4.4195,0.0039,0.3648,2201.0157,2207.9189
nyudepth,sharing,1.2126,2331.5732,125.4511,4.4195,0.0039,0.3648,2194.3333,2206.1222
nyudepth,sharing,1.224,2445.389,122.2509,5.0932,0.001,38.5658,2318.9039,2323.1381
nyudepth,sharing,1.2316,2445.025,122.2509,5.0932,0.001,38.5658,2311.3127,2322.7741
nyudepth,sharing,1.2353,2443.8176,122.2509,5.0932,0.001,38.5658,2307.5848,2321.5667
nyudepth,sharing,1.2633,2539.6016,121.8913,4.3136,0.0038,0.3645,2411.1171,2417.7103
nyudepth,sharing,1.2967,2511.0285,121.8913,4.3136,0.0038,0.3645,2377.7406,2389.1373
nyudepth,sharing,1.3344,2597.7333,121.2298,4.3154,0.0009,38.4934,2472.2872,2476.5035
nyudepth,sharing,1.4685,2470.5086,121.2298,4.3154,0.0009,38.4934,2338.1054,2349.2788
nyudepth,sharing,1.5196,2421.9909,121.2298,4.3154,0.0009,38.4934,2287.0812,2300.7611
