task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,307,5.5818,179.374,179.385,182.252,183.776
ecgclass__app1,1,307,5.5818,179.378,179.137,182.386,184.025
ecgclass__app2,1,307,5.5818,179.383,179.37,182.2,183.929
ecgclass__app3,1,307,5.5818,179.38,179.287,182.347,184.678
ecgclass__app4,0,307,5.5818,179.379,179.333,182.218,183.901
ecgclass__app5,0,307,5.5818,179.384,179.367,182.55,184.376
ecgclass__app6,0,307,5.5818,179.378,179.394,182.398,183.867
ecgclass__app7,0,307,5.5818,179.384,179.275,182.284,183.514
ecgclass__app8,0,307,5.5818,179.38,179.282,183.024,184.908
ecgclass__app9,0,307,5.5818,179.359,179.282,181.141,182.276
