task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,218,3.9636,252.625,252.542,255.749,259.425,208.897
ecgclass__app1,218,3.9636,252.628,252.645,255.846,260.023,209.038
ecgclass__app2,218,3.9636,252.627,252.602,255.403,261.853,208.99
ecgclass__app3,218,3.9636,252.619,252.609,256.333,262.371,208.91
ecgclass__app4,218,3.9636,252.631,252.472,255.859,258.827,209.028
ecgclass__app5,218,3.9636,252.636,252.602,255.692,260.596,209.145
ecgclass__app6,218,3.9636,252.63,252.581,255.792,260.888,208.806
ecgclass__app7,218,3.9636,252.627,252.527,255.922,259.3,208.809
ecgclass__app8,218,3.9636,252.614,252.465,255.923,260.432,209.024
ecgclass__app9,218,3.9636,252.591,252.522,254.647,258.295,57.471
