task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,sharing,197,19.7,1324.296,1312.771,1789.573,1855.185,122.221,4.609,0.002,22.476,1191.218,1202.075
vocseg,sharing,197,19.7,864.125,987.542,1259.953,1306.802,122.551,4.362,0.002,25.3,730.029,741.575
