task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
vocseg,stfq,253,3.1625,146.338,112.788,304.866,337.574,101.403,98.278,0.003,1.919,41.777,0.0,44.935
nyudepth,stfq,717,8.9625,2381.059,2246.906,5519.064,6150.622,138.891,136.061,0.003,0.735,2237.384,0.0,2242.168
