task,condition,elapsed_sec,latency_ms,server_exec_ms,server_start_ns
ecgclass,no_sharing,0.0,302.058,300.1476,1775517247650759043
ecgclass,no_sharing,0.0311,338.8133,67.3859,1775517247951563905
ecgclass,no_sharing,0.0604,309.5801,67.3859,1775517247951563905
ecgclass,no_sharing,0.0897,280.6394,67.3859,1775517247951563905
ecgclass,no_sharing,0.093,277.2839,67.3859,1775517247951563905
ecgclass,no_sharing,0.0944,275.9485,67.3859,1775517247951563905
ecgclass,no_sharing,0.1122,258.2924,67.3859,1775517247951563905
ecgclass,no_sharing,0.1296,240.8447,67.3859,1775517247951563905
ecgclass,no_sharing,0.1687,201.8175,67.3859,1775517247951563905
ecgclass,no_sharing,0.1701,201.8597,67.3859,1775517247951563905
ecgclass,no_sharing,0.1834,188.6387,67.3859,1775517247951563905
ecgclass,no_sharing,0.1839,188.1387,67.3859,1775517247951563905
ecgclass,no_sharing,0.1978,174.2394,67.3859,1775517247951563905
ecgclass,no_sharing,0.2196,152.4298,67.3859,1775517247951563905
ecgclass,no_sharing,0.2242,147.8539,67.3859,1775517247951563905
ecgclass,no_sharing,0.2395,132.4763,67.3859,1775517247951563905
ecgclass,no_sharing,0.241,131.0456,67.3859,1775517247951563905
ecgclass,no_sharing,0.2423,129.7038,67.3859,1775517247951563905
ecgclass,no_sharing,0.2469,125.0951,67.3859,1775517247951563905
ecgclass,no_sharing,0.2574,114.6021,67.3859,1775517247951563905
ecgclass,no_sharing,0.263,108.9995,67.3859,1775517247951563905
ecgclass,no_sharing,0.2788,93.1983,67.3859,1775517247951563905
ecgclass,no_sharing,0.2813,90.7159,67.3859,1775517247951563905
ecgclass,no_sharing,0.3043,115.253,40.8627,1775517248026590023
ecgclass,no_sharing,0.3199,99.6287,40.8627,1775517248026590023
ecgclass,no_sharing,0.3282,91.2843,40.8627,1775517248026590023
ecgclass,no_sharing,0.3335,85.9835,40.8627,1775517248026590023
ecgclass,no_sharing,0.3383,81.2111,40.8627,1775517248026590023
ecgclass,no_sharing,0.3396,79.9134,40.8627,1775517248026590023
ecgclass,no_sharing,0.3421,77.476,40.8627,1775517248026590023
ecgclass,no_sharing,0.3507,68.8729,40.8627,1775517248026590023
ecgclass,no_sharing,0.3553,64.2369,40.8627,1775517248026590023
ecgclass,no_sharing,0.3715,48.0092,40.8627,1775517248026590023
ecgclass,no_sharing,0.3803,74.4171,30.5309,1775517248073420054
ecgclass,no_sharing,0.3832,71.6193,30.5309,1775517248073420054
ecgclass,no_sharing,0.389,66.0543,30.5309,1775517248073420054
ecgclass,no_sharing,0.3963,58.733,30.5309,1775517248073420054
ecgclass,no_sharing,0.4012,54.1348,30.5309,1775517248073420054
ecgclass,no_sharing,0.4055,49.7916,30.5309,1775517248073420054
ecgclass,no_sharing,0.4163,39.0663,30.5309,1775517248073420054
ecgclass,no_sharing,0.4195,35.9185,30.5309,1775517248073420054
ecgclass,no_sharing,0.4367,40.9281,17.7162,1775517248108986131
ecgclass,no_sharing,0.4533,24.3435,17.7162,1775517248108986131
ecgclass,no_sharing,0.4675,29.8908,12.959,1775517248133553785
ecgclass,no_sharing,0.4678,29.7406,12.959,1775517248133553785
ecgclass,no_sharing,0.4821,29.1252,13.2249,1775517248147151038
ecgclass,no_sharing,0.4996,25.5828,13.4231,1775517248160681037
ecgclass,no_sharing,0.5135,31.2979,14.4616,1775517248179507670
ecgclass,no_sharing,0.5168,28.0955,14.4616,1775517248179507670
ecgclass,no_sharing,0.5212,24.0667,14.4616,1775517248179507670
ecgclass,no_sharing,0.5226,22.6436,14.4616,1775517248179507670
ecgclass,no_sharing,0.5275,30.5059,12.494,1775517248194551463
ecgclass,no_sharing,0.5275,30.5612,12.494,1775517248194551463
ecgclass,no_sharing,0.5294,28.6093,12.494,1775517248194551463
ecgclass,no_sharing,0.5464,28.2106,11.5586,1775517248212207966
ecgclass,no_sharing,0.5963,22.1367,17.463,1775517248250082881
ecgclass,no_sharing,0.6028,37.3058,17.8749,1775517248271426779
ecgclass,no_sharing,0.6072,33.2353,17.8749,1775517248271426779
ecgclass,no_sharing,0.6115,28.8882,17.8749,1775517248271426779
ecgclass,no_sharing,0.616,24.5132,17.8749,1775517248271426779
ecgclass,no_sharing,0.6183,34.9326,12.3329,1775517248289999121
ecgclass,no_sharing,0.6317,21.584,12.3329,1775517248289999121
ecgclass,no_sharing,0.6486,22.1241,12.8819,1775517248307060049
ecgclass,no_sharing,0.6671,16.9671,13.0628,1775517248320214093
ecgclass,no_sharing,0.7334,13.0455,12.0063,1775517248383602781
ecgclass,no_sharing,0.7596,12.5887,11.5559,1775517248409829465
ecgclass,no_sharing,0.7807,13.0351,11.9224,1775517248430844189
ecgclass,no_sharing,0.7933,17.7608,14.8492,1775517248445455844
ecgclass,no_sharing,0.8017,25.7499,14.0876,1775517248460658454
ecgclass,no_sharing,0.8017,25.7468,14.0876,1775517248460658454
ecgclass,no_sharing,0.8142,31.6503,14.8174,1775517248480181416
ecgclass,no_sharing,0.822,23.9871,14.8174,1775517248480181416
ecgclass,no_sharing,0.8406,26.227,13.3027,1775517248502832180
ecgclass,no_sharing,0.8655,19.9013,12.1336,1775517248522433865
ecgclass,no_sharing,0.87,40.6981,18.7624,1775517248541042978
ecgclass,no_sharing,0.87,40.7982,18.7624,1775517248541042978
ecgclass,no_sharing,0.8818,29.0639,18.7624,1775517248541042978
ecgclass,no_sharing,0.914,13.3488,11.7362,1775517248564845340
ecgclass,no_sharing,0.925,19.141,11.7231,1775517248581587124
ecgclass,no_sharing,0.9506,13.5837,12.5029,1775517248600829054
ecgclass,no_sharing,0.9605,15.6991,11.6987,1775517248613689226
ecgclass,no_sharing,0.9762,22.3651,19.7072,1775517248627947456
ecgclass,no_sharing,0.9806,37.9846,19.2351,1775517248648128216
ecgclass,no_sharing,0.9819,36.6824,19.2351,1775517248648128216
ecgclass,no_sharing,0.9843,34.3485,19.2351,1775517248648128216
ecgclass,no_sharing,0.9856,33.0517,19.2351,1775517248648128216
ecgclass,no_sharing,0.9856,33.0441,19.2351,1775517248648128216
ecgclass,no_sharing,1.0087,30.0162,13.9716,1775517248673700752
ecgclass,no_sharing,1.0133,25.389,13.9716,1775517248673700752
ecgclass,no_sharing,1.0175,21.1272,13.9716,1775517248673700752
ecgclass,no_sharing,1.0298,21.8742,12.6085,1775517248688253834
ecgclass,no_sharing,1.0322,19.5394,12.6085,1775517248688253834
ecgclass,no_sharing,1.0558,13.4897,12.464,1775517248706090595
ecgclass,no_sharing,1.0724,14.5218,13.6018,1775517248722528067
ecgclass,no_sharing,1.076,25.7182,14.3473,1775517248736466574
