task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,10264,60.3765,48.965,48.281,75.816,88.258
gestureclass,no_sharing,10168,59.8118,49.788,49.012,77.138,91.815
