task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,no_sharing,5368,9.0983,57.301,47.377,125.207,177.682,43.029,41.528,0.002,0.905,11.32,0.0,14.271
vocseg,no_sharing,5346,9.061,57.114,47.423,124.004,173.59,43.029,41.352,0.002,1.051,11.085,0.0,14.085
