task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,595,59.5,57.934,58.075,75.69,84.515
gestureclass,sharing,595,59.5,57.058,56.636,74.856,85.134
